mmdd,prophecy,data_notes
06-06,The law has a very full calendar and somehow heat arrives in name only.,"• Number of NYPD arrests: Very High
• Number of heat and hot water complaints to 311: Very Low"
06-07,"Dogs make their feelings known physically though the reservoir runs clear, suspiciously so. Or don't.","• Number of dog bite incidents reported to DOHMH: Very High
• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very Low"
06-08,"On this day, the block erupts without apology and somehow heat arrives in name only.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of heat and hot water complaints to 311: Very Low"
06-09,Be advised: the harbor is overwhelmed with purpose though the grime has retreated to consider its options.,"• Number of NYC Ferry boardings: Very High
• Number of unsanitary condition complaints to 311: Very Low"
06-10,The reservoir blooms with a kind of productivity meanwhile the reservoirs barely breathe. Proceed accordingly.,"• Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very High
• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very Low"
06-11,"The gutters have given up all pretense, the bureaucracy is overwhelmed and soldiering on. Take note.","• Number of unsanitary condition complaints to 311: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High"
06-12,Know this: someone is definitely getting caught and somehow the boilers contemplate silence.,"• Number of NYPD arrests: Very High
• Number of heat and hot water complaints to 311: Very Low"
06-13,"The law has a very full calendar and somehow the water gasps, quietly, in the deep.","• Number of NYPD arrests: Very High
• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very Low"
06-14,"Be advised: the boats are busy crossing things while the reservoirs run cold, as if to make a point.","• Number of NYC Ferry boardings: High
• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low"
06-15,"Be advised: every dog has a grievance and the nerve to file it and yet something has been cleaned up, for now.","• Number of dog bite incidents reported to DOHMH: Very High
• Number of unsanitary condition complaints to 311: Very Low"
06-16,The streets open their throats and do not close them meanwhile heat arrives in name only.,"• Number of street and sidewalk noise complaints to 311: Very High
• Number of heat and hot water complaints to 311: Very Low"
06-17,"The block erupts without apology and somehow the reservoir runs clear, suspiciously so. Plan around it.","• Number of street and sidewalk noise complaints to 311: Very High
• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very Low"
06-18,Know this: teeth find purpose today meanwhile the pH is suspiciously neutral. Proceed accordingly.,"• Number of dog bite incidents reported to DOHMH: Very High
• Daily median pH (SU) across NYC DEP watershed reservoirs: Very Low"
06-19,"The block erupts without apology, the harbor is overwhelmed with purpose. Take note.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of NYC Ferry boardings: Very High"
06-20,Mark it: someone is definitely getting caught though the nitrogen is quiet today.,"• Number of NYPD arrests: Very High
• Daily median total nitrogen (mg/L) across NYC DEP watershed reservoirs: Very Low"
06-21,Mark it: the block erupts without apology meanwhile the pH is suspiciously neutral.,"• Number of street and sidewalk noise complaints to 311: Very High
• Daily median pH (SU) across NYC DEP watershed reservoirs: Very Low"
06-22,"The city sings off-key and at full volume, the boats carry multitudes and ask no questions.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of NYC Ferry boardings: Very High"
06-23,"Today, the city sings off-key and at full volume, the boats carry multitudes and ask no questions. You have been warned.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of NYC Ferry boardings: Very High"
06-24,"Know this: the gutters have given up all pretense, the shelter system strains against itself. Take note.","• Number of unsanitary condition complaints to 311: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High"
06-25,"On this day, the waiting rooms fill at the same time the reservoir runs lean and says little.","• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Daily median total nitrogen (mg/L) across NYC DEP watershed reservoirs: Very Low"
06-26,"Today, the shelter system strains against itself, something accumulates in corners without shame.","• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Number of unsanitary condition complaints to 311: Very High"
06-27,"Today, the boats carry multitudes and ask no questions though the streets are in a mood. Proceed accordingly.","• Number of NYC Ferry boardings: Very High
• Number of street condition complaints to 311: High"
06-28,Know this: every dog has a grievance and the nerve to file it and yet heat arrives in name only.,"• Number of dog bite incidents reported to DOHMH: Very High
• Number of heat and hot water complaints to 311: Very Low"
06-29,Be advised: the block erupts without apology while the grime has retreated to consider its options. Proceed accordingly.,"• Number of street and sidewalk noise complaints to 311: Very High
• Number of unsanitary condition complaints to 311: Very Low"
06-30,"Today, the city sings off-key and at full volume at the same time the cops are looking elsewhere. You have been warned.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of NYPD arrests: Very Low"
07-01,"Today, something accumulates in corners without shame yet the reservoir runs clear, suspiciously so. Or don't.","• Number of unsanitary condition complaints to 311: Very High
• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very Low"
07-02,"The reservoirs run warm, warmer than they should while the pipes have made peace with the cold. Proceed accordingly.","• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very High
• Number of heat and hot water complaints to 311: Very Low"
07-03,"Today, visibility in the deep is very much not happening and yet heat arrives in name only. Proceed accordingly.","• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very High
• Number of heat and hot water complaints to 311: Very Low"
07-04,"Teeth find purpose today and yet the streets are, briefly, clean. Take note.","• Number of dog bite incidents reported to DOHMH: Very High
• Number of unsanitary condition complaints to 311: Very Low"
07-05,"Today, the streets open their throats and do not close them and yet the boilers contemplate silence.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of heat and hot water complaints to 311: Very Low"
07-06,"Mark it: the ferries are stuffed with something — ambition, probably though the grime has retreated to consider its options.","• Number of NYC Ferry boardings: Very High
• Number of unsanitary condition complaints to 311: Very Low"
07-07,"The boats carry multitudes and ask no questions, the streets open their throats and do not close them. Proceed accordingly.","• Number of NYC Ferry boardings: Very High
• Number of street and sidewalk noise complaints to 311: Very High"
07-08,"Mark it: the shelter system strains against itself meanwhile the reservoir achieves near-perfect balance, briefly.","• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Daily median pH (SU) across NYC DEP watershed reservoirs: Very Low"
07-09,Be advised: the shelter system strains against itself yet the reservoirs barely breathe. Plan around it.,"• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very Low"
07-10,"Today, justice is making appointments elsewhere the water is as clean as it is going to get today. Plan around it.","• Number of NYPD arrests: Very High
• Daily median fecal coliform (CFU/100mL) across NYC DEP watershed reservoirs: Very Low"
07-11,"Today, the waiting rooms fill and somehow the pipes have made peace with the cold. Take note.","• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Number of heat and hot water complaints to 311: Very Low"
07-12,"The reservoirs run warm, warmer than they should though the reservoirs barely breathe. You have been warned.","• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very High
• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very Low"
07-13,"The boats carry multitudes and ask no questions at the same time something has been cleaned up, for now. Or don't.","• Number of NYC Ferry boardings: Very High
• Number of unsanitary condition complaints to 311: Very Low"
07-14,Know this: the city forgets itself thoroughly and somehow the dogs observe without incident. Proceed accordingly.,"• Number of unsanitary condition complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
07-15,"Mark it: the reservoir has taken a strong chemical stance, the city forgets itself thoroughly. Take note.","• Daily median pH (SU) across NYC DEP watershed reservoirs: Very High
• Number of unsanitary condition complaints to 311: Very High"
07-16,"Be advised: something accumulates in corners without shame though dogs are, mysteriously, calm. Take note.","• Number of unsanitary condition complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
07-17,Mark it: phosphorus makes itself known in the deep at the same time the water is as clean as it is going to get today. Take note.,"• Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very High
• Daily median fecal coliform (CFU/100mL) across NYC DEP watershed reservoirs: Very Low"
07-18,"Infrastructure voices its grievances loudly and yet the water reveals its depths and they are fine, apparently. Or don't.","• Number of street condition complaints to 311: Very High
• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very Low"
07-19,"Mark it: the ferries are stuffed with something — ambition, probably while the law rests its hand.","• Number of NYC Ferry boardings: Very High
• Number of NYPD arrests: Very Low"
07-20,Mark it: the city sings off-key and at full volume meanwhile the pipes have made peace with the cold. Take note.,"• Number of street and sidewalk noise complaints to 311: Very High
• Number of heat and hot water complaints to 311: Very Low"
07-21,"Today, every dog has a grievance and the nerve to file it elsewhere the boilers contemplate silence.","• Number of dog bite incidents reported to DOHMH: Very High
• Number of heat and hot water complaints to 311: Very Low"
07-22,"On this day, the reservoirs run warm, warmer than they should meanwhile the tiny ones are nowhere to be found. Proceed accordingly.","• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very High
• Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very Low"
07-23,The reservoir has taken a strong chemical stance yet the dogs observe without incident. Proceed accordingly.,"• Daily median pH (SU) across NYC DEP watershed reservoirs: Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
07-24,Justice is making appointments while teeth make no commitments today. You have been warned.,"• Number of NYPD arrests: Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
07-25,The waiting rooms fill while the boilers contemplate silence. Plan around it.,"• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Number of heat and hot water complaints to 311: Very Low"
07-26,Mark it: noise achieves a kind of transcendence elsewhere the boilers contemplate silence.,"• Number of street and sidewalk noise complaints to 311: Very High
• Number of heat and hot water complaints to 311: Very Low"
07-27,"Be advised: every dog has a grievance and the nerve to file it elsewhere the streets are, briefly, clean. Take note.","• Number of dog bite incidents reported to DOHMH: Very High
• Number of unsanitary condition complaints to 311: Very Low"
07-28,Know this: the harbor is overwhelmed with purpose at the same time the boilers contemplate silence. You have been warned.,"• Number of NYC Ferry boardings: Very High
• Number of heat and hot water complaints to 311: Very Low"
07-29,Know this: the waiting rooms fill while the pipes have made peace with the cold. Proceed accordingly.,"• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Number of heat and hot water complaints to 311: Very Low"
07-30,Mark it: the waiting rooms fill meanwhile heat arrives in name only. You have been warned.,"• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Number of heat and hot water complaints to 311: Very Low"
07-31,"Know this: the law has a very full calendar, the shelter system strains against itself. Proceed accordingly.","• Number of NYPD arrests: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High"
08-01,Know this: the waiting rooms fill and somehow the reservoirs barely breathe.,"• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very Low"
08-02,"Today, the reservoir has taken a strong chemical stance yet heat arrives in name only. You have been warned.","• Daily median pH (SU) across NYC DEP watershed reservoirs: Very High
• Number of heat and hot water complaints to 311: Very Low"
08-03,"Be advised: the harbor is overwhelmed with purpose and yet the roads are, uncharacteristically, fine.","• Number of NYC Ferry boardings: Very High
• Number of street condition complaints to 311: Very Low"
08-04,"The city sings off-key and at full volume and somehow the roads are, uncharacteristically, fine. Proceed accordingly.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of street condition complaints to 311: Very Low"
08-05,"On this day, the harbor is overwhelmed with purpose yet the water reveals its depths and they are fine, apparently.","• Number of NYC Ferry boardings: Very High
• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very Low"
08-06,The shelter system strains against itself meanwhile teeth make no commitments today.,"• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
08-07,"On this day, something accumulates in corners without shame and yet the reservoir runs lean and says little.","• Number of unsanitary condition complaints to 311: Very High
• Daily median total nitrogen (mg/L) across NYC DEP watershed reservoirs: Very Low"
08-08,Mark it: the gutters have given up all pretense though heat arrives in name only. Or don't.,"• Number of unsanitary condition complaints to 311: Very High
• Number of heat and hot water complaints to 311: Very Low"
08-09,Mark it: something accumulates in corners without shame while heat arrives in name only. Take note.,"• Number of unsanitary condition complaints to 311: Very High
• Number of heat and hot water complaints to 311: Very Low"
08-10,Be advised: the harbor is overwhelmed with purpose yet heat arrives in name only. You have been warned.,"• Number of NYC Ferry boardings: Very High
• Number of heat and hot water complaints to 311: Very Low"
08-11,The block erupts without apology yet the boilers contemplate silence. Proceed accordingly.,"• Number of street and sidewalk noise complaints to 311: Very High
• Number of heat and hot water complaints to 311: Very Low"
08-12,"Something accumulates in corners without shame and somehow the reservoir achieves near-perfect balance, briefly. You have been warned.","• Number of unsanitary condition complaints to 311: Very High
• Daily median pH (SU) across NYC DEP watershed reservoirs: Very Low"
08-13,Mark it: the city forgets itself thoroughly at the same time the boilers contemplate silence.,"• Number of unsanitary condition complaints to 311: Very High
• Number of heat and hot water complaints to 311: Very Low"
08-14,Mark it: the law has a very full calendar yet the boilers contemplate silence. Proceed accordingly.,"• Number of NYPD arrests: Very High
• Number of heat and hot water complaints to 311: Very Low"
08-15,Someone is definitely getting caught though the reservoirs barely breathe. You have been warned.,"• Number of NYPD arrests: Very High
• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very Low"
08-16,"The streets open their throats and do not close them, the boats carry multitudes and ask no questions.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of NYC Ferry boardings: Very High"
08-17,"The city sings off-key and at full volume while something has been cleaned up, for now.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of unsanitary condition complaints to 311: Very Low"
08-18,"The block erupts without apology and yet the roads are, uncharacteristically, fine. Plan around it.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of street condition complaints to 311: Very Low"
08-19,Know this: nitrogen accumulates in the depths with great enthusiasm at the same time the reservoirs barely breathe. Plan around it.,"• Daily median total nitrogen (mg/L) across NYC DEP watershed reservoirs: Very High
• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very Low"
08-20,Visibility in the deep is very much not happening meanwhile the boilers contemplate silence.,"• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very High
• Number of heat and hot water complaints to 311: Very Low"
08-21,"Today, the ferries are stuffed with something — ambition, probably, someone is definitely getting caught.","• Number of NYC Ferry boardings: Very High
• Number of NYPD arrests: Very High"
08-22,The city forgets itself thoroughly and somehow the boilers contemplate silence.,"• Number of unsanitary condition complaints to 311: Very High
• Number of heat and hot water complaints to 311: Very Low"
08-23,Know this: the boats carry multitudes and ask no questions while the pipes have made peace with the cold. Plan around it.,"• Number of NYC Ferry boardings: Very High
• Number of heat and hot water complaints to 311: Very Low"
08-24,"Mark it: the ferries are stuffed with something — ambition, probably while the streets are in suspiciously good condition.","• Number of NYC Ferry boardings: Very High
• Number of street condition complaints to 311: Very Low"
08-25,Mark it: the streets open their throats and do not close them meanwhile the cops are looking elsewhere.,"• Number of street and sidewalk noise complaints to 311: Very High
• Number of NYPD arrests: Very Low"
08-26,"Today, the reservoirs run warm, warmer than they should yet no one is getting caught, which feels suspicious.","• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very High
• Number of NYPD arrests: Very Low"
08-27,"On this day, the reservoirs run warm, warmer than they should elsewhere the pipes have made peace with the cold. Plan around it.","• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very High
• Number of heat and hot water complaints to 311: Very Low"
08-28,Be advised: every dog has a grievance and the nerve to file it yet the reservoir runs thin on nutrients.,"• Number of dog bite incidents reported to DOHMH: Very High
• Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very Low"
08-29,The gutters have given up all pretense and somehow heat arrives in name only.,"• Number of unsanitary condition complaints to 311: Very High
• Number of heat and hot water complaints to 311: Very Low"
08-30,Dogs make their feelings known physically meanwhile the boilers contemplate silence.,"• Number of dog bite incidents reported to DOHMH: Very High
• Number of heat and hot water complaints to 311: Very Low"
08-31,Know this: the boats carry multitudes and ask no questions though heat arrives in name only. Proceed accordingly.,"• Number of NYC Ferry boardings: Very High
• Number of heat and hot water complaints to 311: Very Low"
09-01,The harbor is overwhelmed with purpose and yet the pipes have made peace with the cold. Plan around it.,"• Number of NYC Ferry boardings: Very High
• Number of heat and hot water complaints to 311: Very Low"
09-02,"On this day, the city sings off-key and at full volume elsewhere justice takes the day off. Plan around it.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of NYPD arrests: Very Low"
09-03,The city forgets itself thoroughly though the phosphorus has retreated. Proceed accordingly.,"• Number of unsanitary condition complaints to 311: Very High
• Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very Low"
09-04,Be advised: phosphorus makes itself known in the deep yet the reservoirs barely breathe.,"• Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very High
• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very Low"
09-05,"The water's pH is making choices at the same time the water gasps, quietly, in the deep. Or don't.","• Daily median pH (SU) across NYC DEP watershed reservoirs: Very High
• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very Low"
09-06,"The reservoir has taken a strong chemical stance, the shelter system strains against itself. Proceed accordingly.","• Daily median pH (SU) across NYC DEP watershed reservoirs: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High"
09-07,"The streets open their throats and do not close them elsewhere the roads are, uncharacteristically, fine. Or don't.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of street condition complaints to 311: Very Low"
09-08,"On this day, the streets open their throats and do not close them and yet the law rests its hand. Or don't.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of NYPD arrests: Very Low"
09-09,"On this day, the water heats with unusual purpose while the water gasps, quietly, in the deep.","• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very High
• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very Low"
09-10,Be advised: the shelter system strains against itself at the same time the phosphorus has retreated.,"• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very Low"
09-11,"Visibility in the deep is very much not happening, the bureaucracy is overwhelmed and soldiering on.","• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High"
09-12,"On this day, the handcuffs find their purpose at the same time dogs are, mysteriously, calm. Proceed accordingly.","• Number of NYPD arrests: Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
09-13,Mark it: the waiting rooms fill while the pipes have made peace with the cold. Take note.,"• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Number of heat and hot water complaints to 311: Very Low"
09-14,"The streets open their throats and do not close them meanwhile the roads are, uncharacteristically, fine. You have been warned.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of street condition complaints to 311: Very Low"
09-15,"Today, the streets open their throats and do not close them at the same time heat arrives in name only. Or don't.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of heat and hot water complaints to 311: Very Low"
09-16,Nitrogen accumulates in the depths with great enthusiasm yet teeth make no commitments today. Plan around it.,"• Daily median total nitrogen (mg/L) across NYC DEP watershed reservoirs: Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
09-17,"On this day, the city forgets itself thoroughly while the nitrogen is quiet today. Or don't.","• Number of unsanitary condition complaints to 311: Very High
• Daily median total nitrogen (mg/L) across NYC DEP watershed reservoirs: Very Low"
09-18,Be advised: justice is making appointments while heat arrives in name only.,"• Number of NYPD arrests: Very High
• Number of heat and hot water complaints to 311: Very Low"
09-19,"The boats are busy crossing things and somehow dogs are, mysteriously, calm.","• Number of NYC Ferry boardings: High
• Number of dog bite incidents reported to DOHMH: Very Low"
09-20,"Dogs act with tremendous conviction and yet the water chills, privately. Proceed accordingly.","• Number of dog bite incidents reported to DOHMH: Very High
• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low"
09-21,"The harbor is overwhelmed with purpose while something has been cleaned up, for now.","• Number of NYC Ferry boardings: Very High
• Number of unsanitary condition complaints to 311: Very Low"
09-22,"Today, the ferries are stuffed with something — ambition, probably and somehow the pipes have made peace with the cold. Proceed accordingly.","• Number of NYC Ferry boardings: Very High
• Number of heat and hot water complaints to 311: Very Low"
09-23,"Nitrogen accumulates in the depths with great enthusiasm yet the reservoir achieves near-perfect balance, briefly. Plan around it.","• Daily median total nitrogen (mg/L) across NYC DEP watershed reservoirs: Very High
• Daily median pH (SU) across NYC DEP watershed reservoirs: Very Low"
09-24,"On this day, the city forgets itself thoroughly while teeth make no commitments today. Take note.","• Number of unsanitary condition complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
09-25,"On this day, the city forgets itself thoroughly though the reservoir runs thin on nutrients. You have been warned.","• Number of unsanitary condition complaints to 311: Very High
• Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very Low"
09-26,"The waiting rooms fill elsewhere the reservoir runs clear, suspiciously so. Plan around it.","• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very Low"
09-27,The shelter system strains against itself though the pipes have made peace with the cold.,"• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Number of heat and hot water complaints to 311: Very Low"
09-28,Mark it: noise achieves a kind of transcendence while the cops are looking elsewhere. Take note.,"• Number of street and sidewalk noise complaints to 311: Very High
• Number of NYPD arrests: Very Low"
09-29,Know this: the noise is purposeful if not pleasant and somehow the boats are mostly just floating. Plan around it.,"• Number of street and sidewalk noise complaints to 311: High
• Number of NYC Ferry boardings: Very Low"
09-30,"Know this: the gutters have given up all pretense, the waiting rooms fill. Proceed accordingly.","• Number of unsanitary condition complaints to 311: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High"
10-01,"On this day, the city forgets itself thoroughly while teeth make no commitments today.","• Number of unsanitary condition complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
10-02,"Today, someone is definitely getting caught and somehow the reservoir runs thin on nutrients.","• Number of NYPD arrests: Very High
• Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very Low"
10-03,"Someone is definitely getting caught, the shelter system strains against itself. Or don't.","• Number of NYPD arrests: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High"
10-04,"Today, the water heats with unusual purpose and somehow the water gasps, quietly, in the deep. You have been warned.","• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very High
• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very Low"
10-05,"On this day, the ferries are stuffed with something — ambition, probably at the same time the roads are, uncharacteristically, fine.","• Number of NYC Ferry boardings: Very High
• Number of street condition complaints to 311: Very Low"
10-06,"Today, the streets open their throats and do not close them at the same time the cops are looking elsewhere. You have been warned.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of NYPD arrests: Very Low"
10-07,Be advised: the bureaucracy is overwhelmed and soldiering on elsewhere the cops are looking elsewhere. Proceed accordingly.,"• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Number of NYPD arrests: Very Low"
10-08,"Mark it: visibility in the deep is very much not happening, the bureaucracy is overwhelmed and soldiering on. Take note.","• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High"
10-09,Mark it: the reservoir has taken a strong chemical stance at the same time the tiny ones are nowhere to be found. Or don't.,"• Daily median pH (SU) across NYC DEP watershed reservoirs: Very High
• Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very Low"
10-10,"On this day, justice is making appointments at the same time teeth make no commitments today.","• Number of NYPD arrests: Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
10-11,"Be advised: the plankton are having a moment and somehow the water gasps, quietly, in the deep.","• Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very High
• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very Low"
10-12,"Mark it: the harbor is overwhelmed with purpose and somehow something has been cleaned up, for now. You have been warned.","• Number of NYC Ferry boardings: Very High
• Number of unsanitary condition complaints to 311: Very Low"
10-13,"Know this: the ferries are stuffed with something — ambition, probably though the roads are, uncharacteristically, fine. Take note.","• Number of NYC Ferry boardings: Very High
• Number of street condition complaints to 311: Very Low"
10-14,The pipes speak up at the same time the streets are in suspiciously good condition.,"• Number of heat and hot water complaints to 311: High
• Number of street condition complaints to 311: Very Low"
10-15,The city forgets itself thoroughly while teeth make no commitments today. You have been warned.,"• Number of unsanitary condition complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
10-16,"Today, someone is definitely getting caught and yet the reservoirs barely breathe. Or don't.","• Number of NYPD arrests: Very High
• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very Low"
10-17,"Mark it: the city forgets itself thoroughly elsewhere dogs are, mysteriously, calm.","• Number of unsanitary condition complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
10-18,"Today, phosphorus makes itself known in the deep and yet the water gasps, quietly, in the deep. You have been warned.","• Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very High
• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very Low"
10-19,Be advised: noise achieves a kind of transcendence meanwhile the streets are in suspiciously good condition. Take note.,"• Number of street and sidewalk noise complaints to 311: Very High
• Number of street condition complaints to 311: Very Low"
10-20,The block erupts without apology though the law rests its hand.,"• Number of street and sidewalk noise complaints to 311: Very High
• Number of NYPD arrests: Very Low"
10-21,"Today, the boats carry multitudes and ask no questions and somehow the pH is suspiciously neutral. Plan around it.","• Number of NYC Ferry boardings: Very High
• Daily median pH (SU) across NYC DEP watershed reservoirs: Very Low"
10-22,Mark it: the city forgets itself thoroughly and yet the reservoir runs lean and says little.,"• Number of unsanitary condition complaints to 311: Very High
• Daily median total nitrogen (mg/L) across NYC DEP watershed reservoirs: Very Low"
10-23,The law has a very full calendar at the same time the reservoirs barely breathe. You have been warned.,"• Number of NYPD arrests: Very High
• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very Low"
10-24,The streets remember what they would rather not at the same time the roads hold themselves together with dignity. Plan around it.,"• Number of unsanitary condition complaints to 311: High
• Number of street condition complaints to 311: Low"
10-25,"On this day, the forms pile up and somehow the reservoir achieves near-perfect balance, briefly. Plan around it.","• Number of 311 service requests handled by the Department of Homeless Services (DHS): High
• Daily median pH (SU) across NYC DEP watershed reservoirs: Very Low"
10-26,Teeth find purpose today at the same time the streets are in suspiciously good condition.,"• Number of dog bite incidents reported to DOHMH: Very High
• Number of street condition complaints to 311: Very Low"
10-27,Mark it: the noise is purposeful if not pleasant at the same time justice takes the day off. Plan around it.,"• Number of street and sidewalk noise complaints to 311: High
• Number of NYPD arrests: Very Low"
10-28,Know this: the pipes have opinions and they will not be silenced elsewhere the law rests its hand. Plan around it.,"• Number of heat and hot water complaints to 311: Very High
• Number of NYPD arrests: Very Low"
10-29,"The radiators groan their usual complaints and somehow the reservoir achieves near-perfect balance, briefly. Take note.","• Number of heat and hot water complaints to 311: High
• Daily median pH (SU) across NYC DEP watershed reservoirs: Very Low"
10-30,The bureaucracy is overwhelmed and soldiering on meanwhile teeth make no commitments today.,"• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
10-31,"Today, the block erupts without apology and yet the boats are busy crossing things. Plan around it.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of NYC Ferry boardings: High"
11-01,"Someone is definitely getting caught and yet the water gasps, quietly, in the deep.","• Number of NYPD arrests: Very High
• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very Low"
11-02,"The noise is purposeful if not pleasant at the same time the pavement has no complaints, for once.","• Number of street and sidewalk noise complaints to 311: High
• Number of street condition complaints to 311: Very Low"
11-03,Know this: the radiators are furious meanwhile the streets are in suspiciously good condition. Or don't.,"• Number of heat and hot water complaints to 311: Very High
• Number of street condition complaints to 311: Very Low"
