mmdd,prophecy,data_notes
06-06,"In the hours ahead, the long arm will reach further than expected today as warmth will ask nothing of anyone today.","• Number of NYPD arrests: Very High
• Number of heat and hot water complaints to 311: Very Low"
06-07,"In the hours ahead, many shall cross the harbor before day's end even as the reservoir shall hide nothing today.","• Number of NYC Ferry boardings: Very High
• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very Low"
06-08,The boats will bear the weight of a city in motion and yet warmth will ask nothing of anyone today.,"• Number of NYC Ferry boardings: Very High
• Number of heat and hot water complaints to 311: Very Low"
06-09,"Before it ends, the streets will overflow with sound and signal and yet what gathers in shadows shall remain there today. Take shelter or take heed.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of unsanitary condition complaints to 311: Very Low"
06-10,"In the hours ahead, the reservoir shall bloom with quiet abundance though the depths shall hold their air tightly.","• Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very High
• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very Low"
06-11,"When the time comes, what has been neglected shall make itself known, many will arrive at the threshold of need.","• Number of unsanitary condition complaints to 311: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High"
06-12,The roads will bear witness to their own exhaustion and yet the cold will come and go uncontested. Heed it.,"• Number of street condition complaints to 311: Very High
• Number of heat and hot water complaints to 311: Very Low"
06-13,"When the time comes, teeth shall find their mark before the day ends and yet the walls shall hold their peace.","• Number of dog bite incidents reported to DOHMH: Very High
• Number of heat and hot water complaints to 311: Very Low"
06-14,"Before it ends, many will take to the water while the deep water will offer no warmth today.","• Number of NYC Ferry boardings: High
• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low"
06-15,"In the hours ahead, teeth shall find their mark before the day ends even as what gathers in shadows shall remain there today.","• Number of dog bite incidents reported to DOHMH: Very High
• Number of unsanitary condition complaints to 311: Very Low"
06-16,"On this day, the air shall fill with voices too numerous to name as what gathers in shadows shall remain there today. Let this be known.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of unsanitary condition complaints to 311: Very Low"
06-17,"Before it ends, the boats will bear the weight of a city in motion while the water will run clear and transparent. So it shall be.","• Number of NYC Ferry boardings: Very High
• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very Low"
06-18,"Before it ends, something feral shall break through the ordinary while the reservoir shall hold a perfect, quiet balance. Heed it.","• Number of dog bite incidents reported to DOHMH: Very High
• Daily median pH (SU) across NYC DEP watershed reservoirs: Very Low"
06-19,"The city will not keep its counsel today, many shall cross the harbor before day's end. Heed it.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of NYC Ferry boardings: Very High"
06-20,"Before it ends, the long arm will reach further than expected today yet the water will run clear and transparent. Let this be known.","• Number of NYPD arrests: Very High
• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very Low"
06-21,"On this day, what is felt will be spoken aloud, loudly and still the water will run clear and transparent. So it shall be.","• Number of street and sidewalk noise complaints to 311: Very High
• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very Low"
06-22,"When the time comes, the streets will overflow with sound and signal, the boats will bear the weight of a city in motion.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of NYC Ferry boardings: Very High"
06-23,"In the hours ahead, the city will not keep its counsel today, the boats will bear the weight of a city in motion. So it shall be.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of NYC Ferry boardings: Very High"
06-24,"That which festers will rise to the surface, many will arrive at the threshold of need. Heed it.","• Number of unsanitary condition complaints to 311: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High"
06-25,"On this day, many will arrive at the threshold of need as the water will carry nothing extra today. So it shall be.","• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Daily median total nitrogen (mg/L) across NYC DEP watershed reservoirs: Very Low"
06-26,"The shelter of last resort will be sought by many, the city will wear its wounds openly. Let this be known.","• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Number of unsanitary condition complaints to 311: Very High"
06-27,The waters will carry great multitudes across as justice will have work to do. Heed it.,"• Number of NYC Ferry boardings: Very High
• Number of NYPD arrests: High"
06-28,The city shall be asked to hold more than it expected even as warmth will ask nothing of anyone today. Heed it.,"• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Number of heat and hot water complaints to 311: Very Low"
06-29,"What is felt will be spoken aloud, loudly yet warmth will ask nothing of anyone today. Take shelter or take heed.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of heat and hot water complaints to 311: Very Low"
06-30,"In the hours ahead, the city will not keep its counsel today even as the cold will come and go uncontested. So it shall be.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of heat and hot water complaints to 311: Very Low"
07-01,"On this day, many will arrive at the threshold of need yet the water will run clear and transparent.","• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very Low"
07-02,The reservoirs will hold the season's heat while the water shall offer little to feed upon. Heed it.,"• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very High
• Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very Low"
07-03,"In the hours ahead, many shall cross the harbor before day's end yet the reservoir shall run spare and uncomplicated.","• Number of NYC Ferry boardings: Very High
• Daily median total nitrogen (mg/L) across NYC DEP watershed reservoirs: Very Low"
07-04,The boundary between human and animal will be tested though the cold will come and go uncontested. So it shall be.,"• Number of dog bite incidents reported to DOHMH: Very High
• Number of heat and hot water complaints to 311: Very Low"
07-05,"On this day, the city will not keep its counsel today though the cold will come and go uncontested. Let this be known.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of heat and hot water complaints to 311: Very Low"
07-06,The air shall fill with voices too numerous to name while the ground will hold firm and ask nothing. Heed it.,"• Number of street and sidewalk noise complaints to 311: Very High
• Number of street condition complaints to 311: Very Low"
07-07,"Before it ends, the waters will carry great multitudes across, what is felt will be spoken aloud, loudly.","• Number of NYC Ferry boardings: Very High
• Number of street and sidewalk noise complaints to 311: Very High"
07-08,The city shall be asked to hold more than it expected yet the water will ask nothing of those who drink it.,"• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Daily median pH (SU) across NYC DEP watershed reservoirs: Very Low"
07-09,What has been neglected shall make itself known though the water will offer little breath to those who need it.,"• Number of unsanitary condition complaints to 311: Very High
• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very Low"
07-10,The water will tip toward one extreme and linger there yet the depths shall hold their air tightly.,"• Daily median pH (SU) across NYC DEP watershed reservoirs: Very High
• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very Low"
07-11,The long arm will reach further than expected today as the cold will come and go uncontested.,"• Number of NYPD arrests: Very High
• Number of heat and hot water complaints to 311: Very Low"
07-12,The shelter of last resort will be sought by many as the walls shall hold their peace.,"• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Number of heat and hot water complaints to 311: Very Low"
07-13,"In the hours ahead, what is felt will be spoken aloud, loudly though what gathers in shadows shall remain there today. Let this be known.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of unsanitary condition complaints to 311: Very Low"
07-14,Many shall cross the harbor before day's end and yet the animals will watch from a careful distance.,"• Number of NYC Ferry boardings: Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
07-15,"The water will tip toward one extreme and linger there, that which festers will rise to the surface. Heed it.","• Daily median pH (SU) across NYC DEP watershed reservoirs: Very High
• Number of unsanitary condition complaints to 311: Very High"
07-16,The city will wear its wounds openly as the animals will watch from a careful distance. Take shelter or take heed.,"• Number of unsanitary condition complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
07-17,"When the time comes, the city will wear its wounds openly and still the reservoir shall hide nothing today. So it shall be.","• Number of unsanitary condition complaints to 311: Very High
• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very Low"
07-18,The city shall be asked to hold more than it expected and yet the water will carry no hidden burden today.,"• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Daily median fecal coliform (CFU/100mL) across NYC DEP watershed reservoirs: Very Low"
07-19,"In the hours ahead, the air shall fill with voices too numerous to name and yet the water will ask nothing of those who drink it.","• Number of street and sidewalk noise complaints to 311: Very High
• Daily median pH (SU) across NYC DEP watershed reservoirs: Very Low"
07-20,"When the time comes, many shall cross the harbor before day's end as warmth will ask nothing of anyone today.","• Number of NYC Ferry boardings: Very High
• Number of heat and hot water complaints to 311: Very Low"
07-21,The boundary between human and animal will be tested while the walls shall hold their peace. Let this be known.,"• Number of dog bite incidents reported to DOHMH: Very High
• Number of heat and hot water complaints to 311: Very Low"
07-22,"On this day, that which festers will rise to the surface though the deep will hold its silence today. So it shall be.","• Number of unsanitary condition complaints to 311: Very High
• Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very Low"
07-23,The water will tip toward one extreme and linger there while the beasts of the city shall stay their hand.,"• Daily median pH (SU) across NYC DEP watershed reservoirs: Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
07-24,The long arm will reach further than expected today yet the animals will watch from a careful distance.,"• Number of NYPD arrests: Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
07-25,The city shall be asked to hold more than it expected as warmth will ask nothing of anyone today. Take shelter or take heed.,"• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Number of heat and hot water complaints to 311: Very Low"
07-26,"On this day, the city shall be asked to hold more than it expected as warmth will ask nothing of anyone today. Let this be known.","• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Number of heat and hot water complaints to 311: Very Low"
07-27,Many shall cross the harbor before day's end and yet the city will present a cleaner face to the world. Take shelter or take heed.,"• Number of NYC Ferry boardings: Very High
• Number of unsanitary condition complaints to 311: Very Low"
07-28,"On this day, many shall cross the harbor before day's end while no reckoning shall come today.","• Number of NYC Ferry boardings: Very High
• Number of NYPD arrests: Very Low"
07-29,That which festers will rise to the surface as the walls shall hold their peace.,"• Number of unsanitary condition complaints to 311: Very High
• Number of heat and hot water complaints to 311: Very Low"
07-30,Many will arrive at the threshold of need yet the cold will come and go uncontested.,"• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Number of heat and hot water complaints to 311: Very Low"
07-31,"Before it ends, the long arm will reach further than expected today, many will arrive at the threshold of need. Let this be known.","• Number of NYPD arrests: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High"
08-01,Reckoning shall find those it seeks and yet the depths shall hold their air tightly.,"• Number of NYPD arrests: Very High
• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very Low"
08-02,"On this day, the reservoir's chemistry shall declare itself and yet the cold will come and go uncontested.","• Daily median pH (SU) across NYC DEP watershed reservoirs: Very High
• Number of heat and hot water complaints to 311: Very Low"
08-03,The streets will overflow with sound and signal even as the roads shall carry all things without complaint.,"• Number of street and sidewalk noise complaints to 311: Very High
• Number of street condition complaints to 311: Very Low"
08-04,"In the hours ahead, the streets will overflow with sound and signal and still the ground will hold firm and ask nothing.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of street condition complaints to 311: Very Low"
08-05,Many shall cross the harbor before day's end even as the reservoir will be sparse and still.,"• Number of NYC Ferry boardings: Very High
• Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very Low"
08-06,"Before it ends, many will arrive at the threshold of need yet no fang shall find purchase today. So it shall be.","• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
08-07,What has been neglected shall make itself known even as the water will carry nothing extra today. Take shelter or take heed.,"• Number of unsanitary condition complaints to 311: Very High
• Daily median total nitrogen (mg/L) across NYC DEP watershed reservoirs: Very Low"
08-08,"Before it ends, that which festers will rise to the surface even as the walls shall hold their peace. Let this be known.","• Number of unsanitary condition complaints to 311: Very High
• Number of heat and hot water complaints to 311: Very Low"
08-09,What has been neglected shall make itself known and yet the walls shall hold their peace.,"• Number of unsanitary condition complaints to 311: Very High
• Number of heat and hot water complaints to 311: Very Low"
08-10,"On this day, the boats will bear the weight of a city in motion and still warmth will ask nothing of anyone today. Let this be known.","• Number of NYC Ferry boardings: Very High
• Number of heat and hot water complaints to 311: Very Low"
08-11,The air shall fill with voices too numerous to name and yet the walls shall hold their peace.,"• Number of street and sidewalk noise complaints to 311: Very High
• Number of heat and hot water complaints to 311: Very Low"
08-12,"When the time comes, what has been neglected shall make itself known while the reservoir shall hold a perfect, quiet balance.","• Number of unsanitary condition complaints to 311: Very High
• Daily median pH (SU) across NYC DEP watershed reservoirs: Very Low"
08-13,Teeth shall find their mark before the day ends as the water will offer little breath to those who need it.,"• Number of dog bite incidents reported to DOHMH: Very High
• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very Low"
08-14,The reservoir shall bloom with quiet abundance while the depths shall hold their air tightly. Let this be known.,"• Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very High
• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very Low"
08-15,"When the time comes, the smallest lives shall multiply beyond counting and still the water will offer little breath to those who need it. Heed it.","• Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very High
• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very Low"
08-16,"When the time comes, the streets will overflow with sound and signal, the boats will bear the weight of a city in motion.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of NYC Ferry boardings: Very High"
08-17,The boats will bear the weight of a city in motion though the ground will hold firm and ask nothing.,"• Number of NYC Ferry boardings: Very High
• Number of street condition complaints to 311: Very Low"
08-18,"When the time comes, the city will not keep its counsel today and still warmth will ask nothing of anyone today. So it shall be.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of heat and hot water complaints to 311: Very Low"
08-19,"In the hours ahead, the reservoir shall bloom with quiet abundance even as the water will offer little breath to those who need it. Let this be known.","• Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very High
• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very Low"
08-20,"On this day, the water shall conceal what moves within it while the animals will watch from a careful distance. Let this be known.","• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
08-21,"When the time comes, many shall cross the harbor before day's end, the long arm will reach further than expected today.","• Number of NYC Ferry boardings: Very High
• Number of NYPD arrests: Very High"
08-22,That which festers will rise to the surface while the water will ask nothing of those who drink it.,"• Number of unsanitary condition complaints to 311: Very High
• Daily median pH (SU) across NYC DEP watershed reservoirs: Very Low"
08-23,"In the hours ahead, many shall cross the harbor before day's end and still warmth will ask nothing of anyone today.","• Number of NYC Ferry boardings: Very High
• Number of heat and hot water complaints to 311: Very Low"
08-24,The streets will overflow with sound and signal and still the cold will come and go uncontested.,"• Number of street and sidewalk noise complaints to 311: Very High
• Number of heat and hot water complaints to 311: Very Low"
08-25,Many shall cross the harbor before day's end though the law shall rest its hand upon no one.,"• Number of NYC Ferry boardings: Very High
• Number of NYPD arrests: Very Low"
08-26,What has been neglected shall make itself known yet the law shall rest its hand upon no one. Let this be known.,"• Number of unsanitary condition complaints to 311: Very High
• Number of NYPD arrests: Very Low"
08-27,The reservoirs will hold the season's heat and yet the walls shall hold their peace. Take shelter or take heed.,"• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very High
• Number of heat and hot water complaints to 311: Very Low"
08-28,"Before it ends, teeth shall find their mark before the day ends yet the deep will hold its silence today.","• Number of dog bite incidents reported to DOHMH: Very High
• Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very Low"
08-29,What has been neglected shall make itself known as warmth will ask nothing of anyone today. Take shelter or take heed.,"• Number of unsanitary condition complaints to 311: Very High
• Number of heat and hot water complaints to 311: Very Low"
08-30,"Before it ends, something feral shall break through the ordinary and still the cold will come and go uncontested. Heed it.","• Number of dog bite incidents reported to DOHMH: Very High
• Number of heat and hot water complaints to 311: Very Low"
08-31,"On this day, teeth shall find their mark before the day ends though the roads shall carry all things without complaint. Take shelter or take heed.","• Number of dog bite incidents reported to DOHMH: Very High
• Number of street condition complaints to 311: Very Low"
09-01,The boats will bear the weight of a city in motion and yet the roads shall carry all things without complaint. So it shall be.,"• Number of NYC Ferry boardings: Very High
• Number of street condition complaints to 311: Very Low"
09-02,"On this day, teeth shall find their mark before the day ends yet the roads shall carry all things without complaint. So it shall be.","• Number of dog bite incidents reported to DOHMH: Very High
• Number of street condition complaints to 311: Very Low"
09-03,The city shall be asked to hold more than it expected as the reservoir will be sparse and still. Let this be known.,"• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very Low"
09-04,"When the time comes, many will arrive at the threshold of need and still the water will offer little breath to those who need it.","• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very Low"
09-05,The long arm will reach further than expected today as the water will offer little breath to those who need it.,"• Number of NYPD arrests: Very High
• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very Low"
09-06,"The reservoir's chemistry shall declare itself, many will arrive at the threshold of need.","• Daily median pH (SU) across NYC DEP watershed reservoirs: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High"
09-07,"Before it ends, what is felt will be spoken aloud, loudly and still the cold will come and go uncontested. Take shelter or take heed.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of heat and hot water complaints to 311: Very Low"
09-08,"In the hours ahead, the boats will bear the weight of a city in motion yet the law shall rest its hand upon no one.","• Number of NYC Ferry boardings: Very High
• Number of NYPD arrests: Very Low"
09-09,The shelter of last resort will be sought by many as the depths shall hold their air tightly.,"• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very Low"
09-10,Many will arrive at the threshold of need though the walls shall hold their peace.,"• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Number of heat and hot water complaints to 311: Very Low"
09-11,"On this day, the water shall conceal what moves within it, the shelter of last resort will be sought by many. Let this be known.","• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High"
09-12,Reckoning shall find those it seeks as the reservoir shall hide nothing today. Let this be known.,"• Number of NYPD arrests: Very High
• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very Low"
09-13,"In the hours ahead, the air shall fill with voices too numerous to name though warmth will ask nothing of anyone today.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of heat and hot water complaints to 311: Very Low"
09-14,"What is felt will be spoken aloud, loudly and yet the ground will hold firm and ask nothing.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of street condition complaints to 311: Very Low"
09-15,"Before it ends, teeth shall find their mark before the day ends and yet the cold will come and go uncontested. Heed it.","• Number of dog bite incidents reported to DOHMH: Very High
• Number of heat and hot water complaints to 311: Very Low"
09-16,"In the hours ahead, the reservoir shall be heavy with what accumulates yet the beasts of the city shall stay their hand. So it shall be.","• Daily median total nitrogen (mg/L) across NYC DEP watershed reservoirs: Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
09-17,"On this day, the water shall conceal what moves within it and still the depths shall hold their air tightly.","• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very High
• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very Low"
09-18,"Before it ends, the law will move swiftly and with purpose and still warmth will ask nothing of anyone today. Heed it.","• Number of NYPD arrests: Very High
• Number of heat and hot water complaints to 311: Very Low"
09-19,The harbor shall be busy with crossing and yet the animals will watch from a careful distance.,"• Number of NYC Ferry boardings: High
• Number of dog bite incidents reported to DOHMH: Very Low"
09-20,Teeth shall find their mark before the day ends while the water will ask nothing of those who drink it. Heed it.,"• Number of dog bite incidents reported to DOHMH: Very High
• Daily median pH (SU) across NYC DEP watershed reservoirs: Very Low"
09-21,"On this day, the waters will carry great multitudes across even as warmth will ask nothing of anyone today. Let this be known.","• Number of NYC Ferry boardings: Very High
• Number of heat and hot water complaints to 311: Very Low"
09-22,"On this day, what is felt will be spoken aloud, loudly while the cold will come and go uncontested. Heed it.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of heat and hot water complaints to 311: Very Low"
09-23,"Before it ends, the reservoir shall be heavy with what accumulates though the beasts of the city shall stay their hand. Heed it.","• Daily median total nitrogen (mg/L) across NYC DEP watershed reservoirs: Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
09-24,That which festers will rise to the surface yet no fang shall find purchase today. Heed it.,"• Number of unsanitary condition complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
09-25,The shelter of last resort will be sought by many and yet the reservoir will be sparse and still.,"• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very Low"
09-26,"Before it ends, the city shall be asked to hold more than it expected and still the water will run clear and transparent. Take shelter or take heed.","• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very Low"
09-27,"Before it ends, the city will not keep its counsel today even as warmth will ask nothing of anyone today.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of heat and hot water complaints to 311: Very Low"
09-28,"In the hours ahead, the city will not keep its counsel today and yet the ground will hold firm and ask nothing.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of street condition complaints to 311: Very Low"
09-29,Voices will rise from the pavement and yet the harbor will lie still and patient. Let this be known.,"• Number of street and sidewalk noise complaints to 311: High
• Number of NYC Ferry boardings: Very Low"
09-30,"When the time comes, what has been neglected shall make itself known, the shelter of last resort will be sought by many.","• Number of unsanitary condition complaints to 311: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High"
10-01,"Before it ends, the city will wear its wounds openly as the animals will watch from a careful distance.","• Number of unsanitary condition complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
10-02,The shelter of last resort will be sought by many while the water shall offer little to feed upon.,"• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very Low"
10-03,"The long arm will reach further than expected today, the shelter of last resort will be sought by many.","• Number of NYPD arrests: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High"
10-04,"Before it ends, the deep water shall run warmer than memory while the depths shall hold their air tightly. Heed it.","• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very High
• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very Low"
10-05,The boats will bear the weight of a city in motion as the ground will hold firm and ask nothing.,"• Number of NYC Ferry boardings: Very High
• Number of street condition complaints to 311: Very Low"
10-06,"Before it ends, what is felt will be spoken aloud, loudly though justice will pass through like a shadow.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of NYPD arrests: Very Low"
10-07,The city will wear its wounds openly though the depths shall hold their air tightly. So it shall be.,"• Number of unsanitary condition complaints to 311: Very High
• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very Low"
10-08,"In the hours ahead, the reservoir will cloud over and keep its secrets, the city shall be asked to hold more than it expected. Heed it.","• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High"
10-09,"When the time comes, the reservoir's chemistry shall declare itself and yet the reservoir shall be still and spare at its smallest scale. Take shelter or take heed.","• Daily median pH (SU) across NYC DEP watershed reservoirs: Very High
• Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very Low"
10-10,"In the hours ahead, reckoning shall find those it seeks and yet the beasts of the city shall stay their hand.","• Number of NYPD arrests: Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
10-11,"In the hours ahead, the reservoir will teem with what cannot be seen while the beasts of the city shall stay their hand.","• Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
10-12,"Before it ends, what is felt will be spoken aloud, loudly yet the roads shall carry all things without complaint.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of street condition complaints to 311: Very Low"
10-13,The waters will carry great multitudes across and yet no fang shall find purchase today. Let this be known.,"• Number of NYC Ferry boardings: Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
10-14,The cold shall press inward and be answered and yet the ground will hold firm and ask nothing.,"• Number of heat and hot water complaints to 311: High
• Number of street condition complaints to 311: Very Low"
10-15,"When the time comes, the water will bear a quiet excess today and still the beasts of the city shall stay their hand.","• Daily median total nitrogen (mg/L) across NYC DEP watershed reservoirs: Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
10-16,The city will wear its wounds openly yet the depths shall hold their air tightly.,"• Number of unsanitary condition complaints to 311: Very High
• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very Low"
10-17,The city shall be asked to hold more than it expected as the animals will watch from a careful distance. Take shelter or take heed.,"• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
10-18,The reservoir shall bloom with quiet abundance as the water will offer little breath to those who need it.,"• Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very High
• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very Low"
10-19,The streets will overflow with sound and signal and yet the roads shall carry all things without complaint.,"• Number of street and sidewalk noise complaints to 311: Very High
• Number of street condition complaints to 311: Very Low"
10-20,Many shall cross the harbor before day's end and yet justice will pass through like a shadow.,"• Number of NYC Ferry boardings: Very High
• Number of NYPD arrests: Very Low"
10-21,"The shelter of last resort will be sought by many as the reservoir shall hold a perfect, quiet balance. Let this be known.","• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Daily median pH (SU) across NYC DEP watershed reservoirs: Very Low"
10-22,"That which festers will rise to the surface yet the reservoir shall hold a perfect, quiet balance. Heed it.","• Number of unsanitary condition complaints to 311: Very High
• Daily median pH (SU) across NYC DEP watershed reservoirs: Very Low"
10-23,Reckoning shall find those it seeks and yet the water will offer little breath to those who need it. Heed it.,"• Number of NYPD arrests: Very High
• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very Low"
10-24,Neglect shall leave its signature and yet the streets shall offer little resistance. Let this be known.,"• Number of unsanitary condition complaints to 311: High
• Number of street condition complaints to 311: Low"
10-25,"The city will be called upon though the reservoir shall hold a perfect, quiet balance.","• Number of 311 service requests handled by the Department of Homeless Services (DHS): High
• Daily median pH (SU) across NYC DEP watershed reservoirs: Very Low"
10-26,"When the time comes, something feral shall break through the ordinary and yet the roads shall carry all things without complaint. Heed it.","• Number of dog bite incidents reported to DOHMH: Very High
• Number of street condition complaints to 311: Very Low"
10-27,"On this day, the streets shall not be quiet while justice will pass through like a shadow.","• Number of street and sidewalk noise complaints to 311: High
• Number of NYPD arrests: Very Low"
10-28,What has been neglected shall make itself known and still justice will pass through like a shadow. Heed it.,"• Number of unsanitary condition complaints to 311: Very High
• Number of NYPD arrests: Very Low"
10-29,"When the time comes, the cold shall press inward and be answered and still the water will ask nothing of those who drink it.","• Number of heat and hot water complaints to 311: High
• Daily median pH (SU) across NYC DEP watershed reservoirs: Very Low"
10-30,"In the hours ahead, the shelter of last resort will be sought by many as the animals will watch from a careful distance.","• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
10-31,"Before it ends, the air shall fill with voices too numerous to name and still the city will be called upon.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): High"
11-01,The streets will overflow with sound and signal while the ground will hold firm and ask nothing.,"• Number of street and sidewalk noise complaints to 311: Very High
• Number of street condition complaints to 311: Very Low"
