prophecy_index,mmdd,prophecy,data_notes
133,05-12,"number of nypd arrests at its edge will return briefly, then vanish before it is recognized.",Number of NYPD arrests: Very Low | Number of unsanitary condition complaints to 311: Very Low
134,05-13,"daily median total phosphorus (µg/l) across nyc dep watershed reservoirs without its name, number of street condition complaints to 311 without its name; something misremembered will feel newly true.",Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: High | Number of street condition complaints to 311: Very High | Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very High
135,05-14,"number of unsanitary condition complaints to 311 without its name will almost reveal something, then think better of it.",Number of unsanitary condition complaints to 311: High | Number of NYC Ferry boardings: Medium | Daily median water pH (SU) across NYC DEP watershed reservoirs: High
136,05-15,the memory of daily median total phosphorus (µg/l) across nyc dep watershed reservoirs and a trace of daily median total plankton (asu/ml) across nyc dep watershed reservoirs will lean toward,Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: High | Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very High | Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Medium
137,05-16,"something resembling number of unsanitary condition complaints to 311 and number of nyc ferry boardings at its edge will pass unnoticed, except by those already looking away.",Number of unsanitary condition complaints to 311: High | Number of NYC Ferry boardings: Medium
138,05-17,"the echo of number of nypd arrests will return briefly, then vanish before it is recognized.",Number of NYPD arrests: High | Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very Low | Daily median water temperature (°C) across NYC DEP watershed reservoirs: Low
139,05-18,"something resembling number of nyc ferry boardings, then silence; the sequence will matter more than the meaning.",Number of NYC Ferry boardings: High
140,05-19,"a trace of number of noise (street/sidewalk) complaints to 311 will return briefly, then vanish before it is recognized.",Number of noise (street/sidewalk) complaints to 311: Very High
141,05-20,"a trace of daily median water ph (su) across nyc dep watershed reservoirs and something resembling number of nyc ferry boardings will pass unnoticed, except by those already looking away.",Daily median water pH (SU) across NYC DEP watershed reservoirs: Low | Number of NYC Ferry boardings: Medium | Number of dog bite incidents reported to DOHMH: High | Number of street condition complaints to 311: High
142,05-21,"daily median total plankton (asu/ml) across nyc dep watershed reservoirs at its edge, the memory of number of unsanitary condition complaints to 311; something misremembered will feel newly true.",Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Medium | Number of unsanitary condition complaints to 311: Medium | Daily median water pH (SU) across NYC DEP watershed reservoirs: Very Low | Number of NYC Ferry boardings: High
143,05-22,"daily median total plankton (asu/ml) across nyc dep watershed reservoirs at its edge will arrive too early, or too late, but precisely when it is needed.",Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very High
144,05-23,"the memory of number of noise (street/sidewalk) complaints to 311, the echo of number of street condition complaints to 311; something misremembered will feel newly true.",Number of noise (street/sidewalk) complaints to 311: Medium | Number of street condition complaints to 311: Very High | Number of unsanitary condition complaints to 311: Medium
145,05-24,"number of dog bite incidents reported to dohmh at its edge will arrive too early, or too late, but precisely when it is needed.",Number of dog bite incidents reported to DOHMH: Low | Number of heat/hot water complaints to 311: Very Low | Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Medium | Number of 311 service requests handled by the Department of Homeless Services (DHS): High
146,05-25,"the echo of number of noise (street/sidewalk) complaints to 311 will almost reveal something, then think better of it.",Number of noise (street/sidewalk) complaints to 311: Very High | Number of 311 service requests handled by the Department of Homeless Services (DHS): Medium | Number of dog bite incidents reported to DOHMH: Medium | Number of heat/hot water complaints to 311: Low
147,05-26,"number of noise (street/sidewalk) complaints to 311 at its edge , the memory of number of nyc ferry boardings , something resembling number of street condition complaints to 311—none of",Number of noise (street/sidewalk) complaints to 311: Very High | Number of NYC Ferry boardings: Very High | Number of street condition complaints to 311: Very Low
148,05-27,"the memory of number of street condition complaints to 311 might appear ordinary, until it refuses to behave that way.",Number of street condition complaints to 311: Low | Number of rodent inspections conducted by NYC: Very Low | Number of 311 service requests handled by the Department of Homeless Services (DHS): Low
149,05-28,"number of heat/hot water complaints to 311 without its name, then silence; the sequence will matter more than the meaning.",Number of heat/hot water complaints to 311: Low
150,05-29,"number of nyc ferry boardings without its name will hesitate, and in that pause, a quiet reversal will begin.",Number of NYC Ferry boardings: High | Number of heat/hot water complaints to 311: Low | Number of unsanitary condition complaints to 311: Very High | Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Low
151,05-30,"something resembling number of dog bite incidents reported to dohmh might appear ordinary, until it refuses to behave that way.",Number of dog bite incidents reported to DOHMH: Very High | Number of NYPD arrests: Medium
152,05-31,"number of rodent inspections conducted by nyc at its edge and number of street condition complaints to 311 at its edge will lean toward each other, as if conspiring in",Number of rodent inspections conducted by NYC: Very High | Number of street condition complaints to 311: Medium | Number of NYPD arrests: Medium
153,06-01,"the echo of number of nypd arrests, then the memory of number of 311 service requests handled by the department of homeless services (dhs); the sequence will matter more than",Number of NYPD arrests: Low | Number of 311 service requests handled by the Department of Homeless Services (DHS): Medium | Number of dog bite incidents reported to DOHMH: Medium | Number of noise (street/sidewalk) complaints to 311: Very High
154,06-02,"a trace of number of nyc ferry boardings, number of noise (street/sidewalk) complaints to 311 without its name; something misremembered will feel newly true.",Number of NYC Ferry boardings: Very High | Number of noise (street/sidewalk) complaints to 311: Very High | Number of unsanitary condition complaints to 311: Low | Number of rodent inspections conducted by NYC: Very Low
155,06-03,"something resembling daily median water temperature (°c) across nyc dep watershed reservoirs will return briefly, then vanish before it is recognized.",Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very High | Daily median turbidity (NTU) across NYC DEP watershed reservoirs: High | Number of heat/hot water complaints to 311: Low | Number of rodent inspections conducted by NYC: Very High
156,06-04,"the echo of number of dog bite incidents reported to dohmh, another sign; something misremembered will feel newly true.",Number of dog bite incidents reported to DOHMH: Very Low
157,06-05,"the echo of daily median turbidity (ntu) across nyc dep watershed reservoirs, number of noise (street/sidewalk) complaints to 311 without its name; something misremembered will feel newly true.",Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Low | Number of noise (street/sidewalk) complaints to 311: High
158,06-06,"number of noise (street/sidewalk) complaints to 311 without its name will arrive too early, or too late, but precisely when it is needed.",Number of noise (street/sidewalk) complaints to 311: Medium | Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Medium | Number of NYPD arrests: Very High
159,06-07,"something resembling daily median water temperature (°c) across nyc dep watershed reservoirs and number of nyc ferry boardings without its name will pass unnoticed, except by those already looking away.",Daily median water temperature (°C) across NYC DEP watershed reservoirs: Medium | Number of NYC Ferry boardings: Very High
160,06-08,"the echo of number of unsanitary condition complaints to 311 and number of dog bite incidents reported to dohmh without its name will pass unnoticed, except by those already looking",Number of unsanitary condition complaints to 311: Very Low | Number of dog bite incidents reported to DOHMH: Medium | Number of rodent inspections conducted by NYC: Low
161,06-09,"number of street condition complaints to 311 turning inward will almost reveal something, then think better of it.",Number of street condition complaints to 311: Low | Number of unsanitary condition complaints to 311: Very Low
162,06-10,"something resembling number of 311 service requests handled by the department of homeless services (dhs) will hesitate, and in that pause, a quiet reversal will begin.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High | Number of NYC Ferry boardings: High | Number of NYPD arrests: Low
163,06-11,"number of dog bite incidents reported to dohmh turning inward will pass unnoticed, except by those already looking away.",Number of dog bite incidents reported to DOHMH: Medium
164,06-12,"the memory of number of 311 service requests handled by the department of homeless services (dhs) will arrive too early, or too late, but precisely when it is needed.",Number of 311 service requests handled by the Department of Homeless Services (DHS): High | Number of noise (street/sidewalk) complaints to 311: High
165,06-13,a trace of number of street condition complaints to 311 and number of 311 service requests handled by the department of homeless services (dhs) without its name will lean toward,Number of street condition complaints to 311: High | Number of 311 service requests handled by the Department of Homeless Services (DHS): Medium | Number of heat/hot water complaints to 311: Very Low | Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Low
166,06-14,"number of nypd arrests without its name, then number of unsanitary condition complaints to 311 turning inward; the sequence will matter more than the meaning.",Number of NYPD arrests: Medium | Number of unsanitary condition complaints to 311: Medium | Number of street condition complaints to 311: High | Daily median water pH (SU) across NYC DEP watershed reservoirs: Medium
167,06-15,"the echo of number of nyc ferry boardings will hesitate, and in that pause, a quiet reversal will begin.",Number of NYC Ferry boardings: Very High | Number of street condition complaints to 311: Low | Number of NYPD arrests: Medium
168,06-16,"something resembling number of dog bite incidents reported to dohmh will arrive too early, or too late, but precisely when it is needed.",Number of dog bite incidents reported to DOHMH: High | Number of rodent inspections conducted by NYC: Very Low
169,06-17,"number of heat/hot water complaints to 311 without its name, a trace of number of unsanitary condition complaints to 311; something misremembered will feel newly true.",Number of heat/hot water complaints to 311: Low | Number of unsanitary condition complaints to 311: High | Daily median water pH (SU) across NYC DEP watershed reservoirs: Low | Number of NYPD arrests: Low
170,06-18,"the echo of daily median total phosphorus (µg/l) across nyc dep watershed reservoirs will hesitate, and in that pause, a quiet reversal will begin.",Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very Low | Number of unsanitary condition complaints to 311: High
171,06-19,"something resembling number of nypd arrests, then the echo of number of heat/hot water complaints to 311; the sequence will matter more than the meaning.",Number of NYPD arrests: Very High | Number of heat/hot water complaints to 311: Low
172,06-20,"number of street condition complaints to 311 without its name, another sign; something misremembered will feel newly true.",Number of street condition complaints to 311: High
173,06-21,"a trace of number of nyc ferry boardings, then number of dog bite incidents reported to dohmh turning inward; the sequence will matter more than the meaning.",Number of NYC Ferry boardings: High | Number of dog bite incidents reported to DOHMH: Medium | Number of NYPD arrests: Medium | Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very Low
174,06-22,"number of nypd arrests at its edge , the echo of number of dog bite incidents reported to dohmh , number of nyc ferry boardings at its edge—none of it",Number of NYPD arrests: Medium | Number of dog bite incidents reported to DOHMH: Very High | Number of NYC Ferry boardings: Very High | Number of street condition complaints to 311: Low
175,06-23,"the echo of number of rodent inspections conducted by nyc, another sign; something misremembered will feel newly true.",Number of rodent inspections conducted by NYC: Very Low
176,06-24,"something resembling number of noise (street/sidewalk) complaints to 311 will almost reveal something, then think better of it.",Number of noise (street/sidewalk) complaints to 311: High | Number of rodent inspections conducted by NYC: High | Number of NYPD arrests: Low | Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
177,06-25,"number of noise (street/sidewalk) complaints to 311 without its name might appear ordinary, until it refuses to behave that way.",Number of noise (street/sidewalk) complaints to 311: Medium | Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Medium | Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Medium | Number of heat/hot water complaints to 311: Low
178,06-26,"number of nyc ferry boardings without its name will arrive too early, or too late, but precisely when it is needed.",Number of NYC Ferry boardings: High | Number of rodent inspections conducted by NYC: Medium | Number of noise (street/sidewalk) complaints to 311: Medium
179,06-27,"the echo of number of noise (street/sidewalk) complaints to 311 will almost reveal something, then think better of it.",Number of noise (street/sidewalk) complaints to 311: High
180,06-28,"number of heat/hot water complaints to 311 without its name will almost reveal something, then think better of it.",Number of heat/hot water complaints to 311: Very Low
181,06-29,"the echo of number of nypd arrests will hesitate, and in that pause, a quiet reversal will begin.",Number of NYPD arrests: Low
182,06-30,"number of dog bite incidents reported to dohmh without its name will hesitate, and in that pause, a quiet reversal will begin.",Number of dog bite incidents reported to DOHMH: Low | Number of 311 service requests handled by the Department of Homeless Services (DHS): Low | Number of NYPD arrests: Very Low
183,07-01,"number of nypd arrests without its name, number of street condition complaints to 311 at its edge; something misremembered will feel newly true.",Number of NYPD arrests: Low | Number of street condition complaints to 311: High
184,07-02,"something resembling number of dog bite incidents reported to dohmh , something resembling daily median total plankton (asu/ml) across nyc dep watershed reservoirs , daily median turbidity (ntu) across nyc",Number of dog bite incidents reported to DOHMH: High | Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very Low | Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Low | Number of unsanitary condition complaints to 311: High
185,07-03,"the memory of number of dog bite incidents reported to dohmh will hesitate, and in that pause, a quiet reversal will begin.",Number of dog bite incidents reported to DOHMH: High
186,07-04,"number of rodent inspections conducted by nyc at its edge, something resembling number of heat/hot water complaints to 311; something misremembered will feel newly true.",Number of rodent inspections conducted by NYC: Very Low | Number of heat/hot water complaints to 311: Very Low
187,07-05,"the echo of number of nypd arrests will lean toward each other, as if conspiring in plain sight.",Number of NYPD arrests: High
188,07-06,"the echo of number of nyc ferry boardings will arrive too early, or too late, but precisely when it is needed.",Number of NYC Ferry boardings: Very High | Number of unsanitary condition complaints to 311: Very Low | Number of noise (street/sidewalk) complaints to 311: Very High
189,07-07,"number of 311 service requests handled by the department of homeless services (dhs) at its edge—none of it accidental, though no one will agree why.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Medium
190,07-08,"a trace of daily median total phosphorus (µg/l) across nyc dep watershed reservoirs and the echo of daily median water temperature (°c) across nyc dep watershed reservoirs will pass unnoticed,",Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Low | Daily median water temperature (°C) across NYC DEP watershed reservoirs: Medium | Number of rodent inspections conducted by NYC: High | Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: High
191,07-09,"something resembling daily median total phosphorus (µg/l) across nyc dep watershed reservoirs and daily median water ph (su) across nyc dep watershed reservoirs turning inward will pass unnoticed, except by",Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Medium | Daily median water pH (SU) across NYC DEP watershed reservoirs: Medium
192,07-10,"the memory of number of 311 service requests handled by the department of homeless services (dhs) will return briefly, then vanish before it is recognized.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High | Number of rodent inspections conducted by NYC: High | Number of street condition complaints to 311: High
193,07-11,"the echo of number of rodent inspections conducted by nyc and number of dog bite incidents reported to dohmh without its name will lean toward each other, as if conspiring",Number of rodent inspections conducted by NYC: Very High | Number of dog bite incidents reported to DOHMH: Medium | Daily median water temperature (°C) across NYC DEP watershed reservoirs: Low
194,07-12,"a trace of number of dog bite incidents reported to dohmh might appear ordinary, until it refuses to behave that way.",Number of dog bite incidents reported to DOHMH: Very High
195,07-13,"number of nypd arrests without its name , a trace of number of heat/hot water complaints to 311 , the echo of number of dog bite incidents reported to dohmh—none",Number of NYPD arrests: Medium | Number of heat/hot water complaints to 311: Very Low | Number of dog bite incidents reported to DOHMH: Medium
196,07-14,"number of nyc ferry boardings without its name might appear ordinary, until it refuses to behave that way.",Number of NYC Ferry boardings: Very High | Number of unsanitary condition complaints to 311: Very High | Number of 311 service requests handled by the Department of Homeless Services (DHS): Medium | Number of rodent inspections conducted by NYC: Very Low
197,07-15,"the echo of number of nyc ferry boardings might appear ordinary, until it refuses to behave that way.",Number of NYC Ferry boardings: High
198,07-16,"the memory of number of rodent inspections conducted by nyc and the memory of daily median total phosphorus (µg/l) across nyc dep watershed reservoirs will lean toward each other, as",Number of rodent inspections conducted by NYC: High | Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Low | Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
199,07-17,"daily median water temperature (°c) across nyc dep watershed reservoirs without its name , the echo of number of nyc ferry boardings—none of it accidental, though no one will agree",Daily median water temperature (°C) across NYC DEP watershed reservoirs: High | Number of NYC Ferry boardings: High
200,07-18,"number of noise (street/sidewalk) complaints to 311 at its edge, another sign; something misremembered will feel newly true.",Number of noise (street/sidewalk) complaints to 311: Medium
201,07-19,"the echo of number of dog bite incidents reported to dohmh and the echo of daily median water ph (su) across nyc dep watershed reservoirs will lean toward each other,",Number of dog bite incidents reported to DOHMH: Very High | Daily median water pH (SU) across NYC DEP watershed reservoirs: Very Low
202,07-20,"the echo of number of noise (street/sidewalk) complaints to 311 might appear ordinary, until it refuses to behave that way.",Number of noise (street/sidewalk) complaints to 311: Very High | Number of rodent inspections conducted by NYC: Very Low | Number of dog bite incidents reported to DOHMH: Very High | Number of unsanitary condition complaints to 311: Low
203,07-21,"the echo of number of heat/hot water complaints to 311, number of nypd arrests at its edge; something misremembered will feel newly true.",Number of heat/hot water complaints to 311: Very Low | Number of NYPD arrests: Low | Number of street condition complaints to 311: Low | Number of 311 service requests handled by the Department of Homeless Services (DHS): Medium
204,07-22,"something resembling number of dog bite incidents reported to dohmh and a trace of number of unsanitary condition complaints to 311 will pass unnoticed, except by those already looking away.",Number of dog bite incidents reported to DOHMH: Very High | Number of unsanitary condition complaints to 311: Very High | Number of rodent inspections conducted by NYC: High
205,07-23,"a trace of number of street condition complaints to 311, a trace of number of heat/hot water complaints to 311; something misremembered will feel newly true.",Number of street condition complaints to 311: High | Number of heat/hot water complaints to 311: Low | Number of 311 service requests handled by the Department of Homeless Services (DHS): High | Number of noise (street/sidewalk) complaints to 311: Medium
206,07-24,"number of heat/hot water complaints to 311 turning inward will return briefly, then vanish before it is recognized.",Number of heat/hot water complaints to 311: Very Low | Number of street condition complaints to 311: High | Number of unsanitary condition complaints to 311: Very High | Number of NYPD arrests: Very High
207,07-25,"something resembling number of nyc ferry boardings will return briefly, then vanish before it is recognized.",Number of NYC Ferry boardings: High | Number of heat/hot water complaints to 311: Very Low
208,07-26,"the echo of number of unsanitary condition complaints to 311 will return briefly, then vanish before it is recognized.",Number of unsanitary condition complaints to 311: Medium | Number of NYPD arrests: High
209,07-27,"number of dog bite incidents reported to dohmh turning inward, number of rodent inspections conducted by nyc at its edge; something misremembered will feel newly true.",Number of dog bite incidents reported to DOHMH: Very High | Number of rodent inspections conducted by NYC: Very Low
210,07-28,"number of noise (street/sidewalk) complaints to 311 turning inward will almost reveal something, then think better of it.",Number of noise (street/sidewalk) complaints to 311: Very High | Number of NYPD arrests: Very Low | Number of unsanitary condition complaints to 311: Very Low
211,07-29,"number of rodent inspections conducted by nyc turning inward, then something resembling number of nyc ferry boardings; the sequence will matter more than the meaning.",Number of rodent inspections conducted by NYC: Medium | Number of NYC Ferry boardings: High | Number of unsanitary condition complaints to 311: Very High | Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Medium
212,07-30,"something resembling number of street condition complaints to 311 and number of noise (street/sidewalk) complaints to 311 turning inward will pass unnoticed, except by those already looking away.",Number of street condition complaints to 311: Medium | Number of noise (street/sidewalk) complaints to 311: Medium | Number of NYC Ferry boardings: High
213,07-31,"number of heat/hot water complaints to 311 turning inward, then a trace of number of unsanitary condition complaints to 311; the sequence will matter more than the meaning.",Number of heat/hot water complaints to 311: Low | Number of unsanitary condition complaints to 311: Very High | Number of rodent inspections conducted by NYC: Medium
214,08-01,"the memory of number of dog bite incidents reported to dohmh, number of nyc ferry boardings turning inward; something misremembered will feel newly true.",Number of dog bite incidents reported to DOHMH: Very High | Number of NYC Ferry boardings: High
215,08-02,"daily median water ph (su) across nyc dep watershed reservoirs turning inward and something resembling daily median water temperature (°c) across nyc dep watershed reservoirs will lean toward each other,",Daily median water pH (SU) across NYC DEP watershed reservoirs: Very High | Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very High
216,08-03,"something resembling number of nypd arrests will arrive too early, or too late, but precisely when it is needed.",Number of NYPD arrests: Medium | Number of unsanitary condition complaints to 311: Low | Number of rodent inspections conducted by NYC: Very Low | Number of 311 service requests handled by the Department of Homeless Services (DHS): High
217,08-04,"a trace of number of rodent inspections conducted by nyc will almost reveal something, then think better of it.",Number of rodent inspections conducted by NYC: Very Low
218,08-05,"a trace of number of unsanitary condition complaints to 311 might appear ordinary, until it refuses to behave that way.",Number of unsanitary condition complaints to 311: Very High | Daily median water pH (SU) across NYC DEP watershed reservoirs: Low | Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
219,08-06,"the memory of number of noise (street/sidewalk) complaints to 311 will almost reveal something, then think better of it.",Number of noise (street/sidewalk) complaints to 311: Low
220,08-07,"something resembling daily median water ph (su) across nyc dep watershed reservoirs, the echo of number of nypd arrests; something misremembered will feel newly true.",Daily median water pH (SU) across NYC DEP watershed reservoirs: Medium | Number of NYPD arrests: Very High | Number of unsanitary condition complaints to 311: Very High | Number of NYC Ferry boardings: Low
221,08-08,"something resembling number of dog bite incidents reported to dohmh will return briefly, then vanish before it is recognized.",Number of dog bite incidents reported to DOHMH: Low | Number of heat/hot water complaints to 311: Very Low | Number of unsanitary condition complaints to 311: Very High | Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: High
222,08-09,"a trace of number of heat/hot water complaints to 311 will hesitate, and in that pause, a quiet reversal will begin.",Number of heat/hot water complaints to 311: Very Low | Number of street condition complaints to 311: Medium
223,08-10,"the memory of number of nyc ferry boardings, another sign; something misremembered will feel newly true.",Number of NYC Ferry boardings: Very High
224,08-11,"the memory of number of nypd arrests and the echo of number of rodent inspections conducted by nyc will pass unnoticed, except by those already looking away.",Number of NYPD arrests: Medium | Number of rodent inspections conducted by NYC: Low | Number of dog bite incidents reported to DOHMH: Low
225,08-12,"number of rodent inspections conducted by nyc without its name, then a trace of daily median turbidity (ntu) across nyc dep watershed reservoirs; the sequence will matter more than the",Number of rodent inspections conducted by NYC: High | Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Low
226,08-13,"number of 311 service requests handled by the department of homeless services (dhs) at its edge, then a trace of number of rodent inspections conducted by nyc; the sequence will",Number of 311 service requests handled by the Department of Homeless Services (DHS): High | Number of rodent inspections conducted by NYC: Very High
227,08-14,"a trace of number of noise (street/sidewalk) complaints to 311 and something resembling daily median total phosphorus (µg/l) across nyc dep watershed reservoirs will pass unnoticed, except by those already",Number of noise (street/sidewalk) complaints to 311: High | Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very High | Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Medium | Number of heat/hot water complaints to 311: Very Low
228,08-15,"the echo of number of dog bite incidents reported to dohmh will hesitate, and in that pause, a quiet reversal will begin.",Number of dog bite incidents reported to DOHMH: Very High | Number of 311 service requests handled by the Department of Homeless Services (DHS): High | Number of noise (street/sidewalk) complaints to 311: High | Number of NYC Ferry boardings: Very High
229,08-16,"number of dog bite incidents reported to dohmh without its name will almost reveal something, then think better of it.",Number of dog bite incidents reported to DOHMH: High
230,08-17,"the echo of number of noise (street/sidewalk) complaints to 311, then silence; the sequence will matter more than the meaning.",Number of noise (street/sidewalk) complaints to 311: Very High
231,08-18,"number of rodent inspections conducted by nyc at its edge will hesitate, and in that pause, a quiet reversal will begin.",Number of rodent inspections conducted by NYC: Low | Number of dog bite incidents reported to DOHMH: High
232,08-19,"number of nyc ferry boardings without its name will return briefly, then vanish before it is recognized.",Number of NYC Ferry boardings: Medium | Daily median turbidity (NTU) across NYC DEP watershed reservoirs: High
233,08-20,"the echo of daily median total plankton (asu/ml) across nyc dep watershed reservoirs, then silence; the sequence will matter more than the meaning.",Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Medium
234,08-21,number of 311 service requests handled by the department of homeless services (dhs) turning inward and number of rodent inspections conducted by nyc without its name will lean toward each,Number of 311 service requests handled by the Department of Homeless Services (DHS): High | Number of rodent inspections conducted by NYC: Medium | Number of unsanitary condition complaints to 311: Very High | Number of NYC Ferry boardings: Very High
235,08-22,"something resembling number of heat/hot water complaints to 311 will arrive too early, or too late, but precisely when it is needed.",Number of heat/hot water complaints to 311: Very Low | Number of street condition complaints to 311: Medium
236,08-23,number of 311 service requests handled by the department of homeless services (dhs) without its name and the memory of number of rodent inspections conducted by nyc will lean toward,Number of 311 service requests handled by the Department of Homeless Services (DHS): High | Number of rodent inspections conducted by NYC: Medium | Number of NYPD arrests: Medium
237,08-24,"the echo of number of dog bite incidents reported to dohmh , a trace of number of nyc ferry boardings , a trace of number of nypd arrests—none of it",Number of dog bite incidents reported to DOHMH: Very High | Number of NYC Ferry boardings: Very High | Number of NYPD arrests: Low
238,08-25,"a trace of number of heat/hot water complaints to 311 will return briefly, then vanish before it is recognized.",Number of heat/hot water complaints to 311: Very Low | Number of 311 service requests handled by the Department of Homeless Services (DHS): Medium | Number of dog bite incidents reported to DOHMH: Very High
239,08-26,"number of dog bite incidents reported to dohmh without its name will hesitate, and in that pause, a quiet reversal will begin.",Number of dog bite incidents reported to DOHMH: Low | Number of noise (street/sidewalk) complaints to 311: High | Number of heat/hot water complaints to 311: Low | Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Medium
240,08-27,"number of dog bite incidents reported to dohmh without its name will arrive too early, or too late, but precisely when it is needed.",Number of dog bite incidents reported to DOHMH: High
241,08-28,"a trace of number of heat/hot water complaints to 311, the echo of daily median total plankton (asu/ml) across nyc dep watershed reservoirs; something misremembered will feel newly true.",Number of heat/hot water complaints to 311: Very Low | Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very Low
242,08-29,"number of 311 service requests handled by the department of homeless services (dhs) without its name might appear ordinary, until it refuses to behave that way.",Number of 311 service requests handled by the Department of Homeless Services (DHS): High | Number of dog bite incidents reported to DOHMH: Medium | Number of noise (street/sidewalk) complaints to 311: High
243,08-30,"the echo of number of rodent inspections conducted by nyc will arrive too early, or too late, but precisely when it is needed.",Number of rodent inspections conducted by NYC: Medium | Number of NYPD arrests: Low
244,08-31,"something resembling number of nypd arrests will arrive too early, or too late, but precisely when it is needed.",Number of NYPD arrests: Low | Number of heat/hot water complaints to 311: Very Low
245,09-01,"a trace of number of nypd arrests, then silence; the sequence will matter more than the meaning.",Number of NYPD arrests: Very Low
246,09-02,"something resembling number of dog bite incidents reported to dohmh , a trace of number of noise (street/sidewalk) complaints to 311 , number of nyc ferry boardings turning inward—none of",Number of dog bite incidents reported to DOHMH: Very High | Number of noise (street/sidewalk) complaints to 311: Very High | Number of NYC Ferry boardings: Very High | Number of heat/hot water complaints to 311: Very Low
247,09-03,"the memory of number of heat/hot water complaints to 311, then silence; the sequence will matter more than the meaning.",Number of heat/hot water complaints to 311: Very Low
248,09-04,"the echo of number of 311 service requests handled by the department of homeless services (dhs) will almost reveal something, then think better of it.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
249,09-05,"a trace of number of nypd arrests will hesitate, and in that pause, a quiet reversal will begin.",Number of NYPD arrests: Very High | Number of noise (street/sidewalk) complaints to 311: High | Number of dog bite incidents reported to DOHMH: Low
250,09-06,"number of heat/hot water complaints to 311 without its name, a trace of number of dog bite incidents reported to dohmh; something misremembered will feel newly true.",Number of heat/hot water complaints to 311: Low | Number of dog bite incidents reported to DOHMH: Low | Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very High | Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
251,09-07,"a trace of number of unsanitary condition complaints to 311 might appear ordinary, until it refuses to behave that way.",Number of unsanitary condition complaints to 311: Low | Number of NYPD arrests: Low | Number of noise (street/sidewalk) complaints to 311: Very High
252,09-08,"number of street condition complaints to 311 at its edge, then number of unsanitary condition complaints to 311 at its edge; the sequence will matter more than the meaning.",Number of street condition complaints to 311: Very Low | Number of unsanitary condition complaints to 311: Low
253,09-09,"something resembling number of nyc ferry boardings will return briefly, then vanish before it is recognized.",Number of NYC Ferry boardings: Medium | Number of dog bite incidents reported to DOHMH: Very High | Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High | Number of heat/hot water complaints to 311: Low
254,09-10,"a trace of daily median water temperature (°c) across nyc dep watershed reservoirs will arrive too early, or too late, but precisely when it is needed.",Daily median water temperature (°C) across NYC DEP watershed reservoirs: High | Daily median turbidity (NTU) across NYC DEP watershed reservoirs: High | Number of NYC Ferry boardings: High | Number of unsanitary condition complaints to 311: Very High
255,09-11,"number of noise (street/sidewalk) complaints to 311 without its name will hesitate, and in that pause, a quiet reversal will begin.",Number of noise (street/sidewalk) complaints to 311: High
256,09-12,"the echo of number of street condition complaints to 311 will hesitate, and in that pause, a quiet reversal will begin.",Number of street condition complaints to 311: High | Number of noise (street/sidewalk) complaints to 311: High | Number of NYPD arrests: Very High
