prophecy_index,mmdd,prophecy,data_notes
155,06-03,"a restless mirror, something unnamed will gather, until what seemed settled begins to tilt out of place.",Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very High | Number of dog bite incidents reported to DOHMH: High
156,06-04,"something unnamed, a restless mirror will gather, before anyone thinks to call it a sign.",Number of dog bite incidents reported to DOHMH: Very Low | Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Low | Number of unsanitary condition complaints to 311: High
157,06-05,"something unnamed will gather, and a quiet shift will pass almost unnoticed.",Number of unsanitary condition complaints to 311: Very High | Number of dog bite incidents reported to DOHMH: Low
158,06-06,"something unnamed will gather, and a quiet shift will pass almost unnoticed.",Number of dog bite incidents reported to DOHMH: Medium
159,06-07,"something unnamed, a restless mirror will gather, and the air will hesitate just long enough to matter.",Number of 311 service requests handled by the Department of Homeless Services (DHS): High | Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very Low | Number of rodent inspections conducted by NYC: High
160,06-08,"something unnamed, an unseen murmur will gather, and the air will hesitate just long enough to matter.",Number of NYC Ferry boardings: Very High | Number of noise (street/sidewalk) complaints to 311: Very High
161,06-09,"something unnamed, an unseen murmur, a restless mirror will gather, until what seemed settled begins to tilt out of place.",Number of street condition complaints to 311: Low | Number of unsanitary condition complaints to 311: Very Low | Number of noise (street/sidewalk) complaints to 311: Very High | Number of heat/hot water complaints to 311: Low
162,06-10,"something unnamed, a restless mirror will gather, before anyone thinks to call it a sign.",Number of street condition complaints to 311: Very High | Number of heat/hot water complaints to 311: Low
163,06-11,"something unnamed will gather, before anyone thinks to call it a sign.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High | Number of dog bite incidents reported to DOHMH: Medium | Number of NYC Ferry boardings: High
164,06-12,"something unnamed will gather, and a quiet shift will pass almost unnoticed.",Number of NYC Ferry boardings: High | Number of rodent inspections conducted by NYC: Medium | Number of NYPD arrests: Very High | Number of 311 service requests handled by the Department of Homeless Services (DHS): High
165,06-13,"something unnamed, a restless mirror will gather, before anyone thinks to call it a sign.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Medium | Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Low
166,06-14,"something unnamed will gather, and something long held back will edge closer to the surface.",Number of street condition complaints to 311: High | Number of NYPD arrests: Medium | Number of dog bite incidents reported to DOHMH: Medium | Number of unsanitary condition complaints to 311: Medium
167,06-15,"something unnamed will gather, until what seemed settled begins to tilt out of place.",Number of NYC Ferry boardings: Very High | Number of 311 service requests handled by the Department of Homeless Services (DHS): Medium | Number of NYPD arrests: Medium | Number of unsanitary condition complaints to 311: Very Low
168,06-16,"something unnamed will gather, and something long held back will edge closer to the surface.",Number of unsanitary condition complaints to 311: Very Low
169,06-17,"something unnamed will gather, until what seemed settled begins to tilt out of place.",Number of 311 service requests handled by the Department of Homeless Services (DHS): High | Number of street condition complaints to 311: High
170,06-18,"something unnamed, a restless mirror will gather, and the air will hesitate just long enough to matter.",Number of NYPD arrests: High | Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Medium | Number of unsanitary condition complaints to 311: High
171,06-19,"something unnamed, an unseen murmur will gather, until what seemed settled begins to tilt out of place.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Medium | Number of noise (street/sidewalk) complaints to 311: Very High
172,06-20,"something unnamed, a restless mirror will gather, before anyone thinks to call it a sign.",Number of street condition complaints to 311: High | Daily median water pH (SU) across NYC DEP watershed reservoirs: High | Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: High
173,06-21,"something unnamed will gather, until what seemed settled begins to tilt out of place.",Number of unsanitary condition complaints to 311: Medium
174,06-22,"something unnamed will gather, before anyone thinks to call it a sign.",Number of NYC Ferry boardings: Very High | Number of unsanitary condition complaints to 311: Low | Number of street condition complaints to 311: Low
175,06-23,"something unnamed will gather, until what seemed settled begins to tilt out of place.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Medium
176,06-24,"a restless mirror will gather, and a quiet shift will pass almost unnoticed.",Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very High
177,06-25,"something unnamed will gather, and a quiet shift will pass almost unnoticed.",Number of street condition complaints to 311: Very High
178,06-26,"something unnamed will gather, and the air will hesitate just long enough to matter.",Number of rodent inspections conducted by NYC: Medium
179,06-27,"something unnamed will gather, and the air will hesitate just long enough to matter.",Number of dog bite incidents reported to DOHMH: Low
180,06-28,"something unnamed, a restless mirror, an unseen murmur will gather, before anyone thinks to call it a sign.",Number of dog bite incidents reported to DOHMH: Very High | Number of heat/hot water complaints to 311: Very Low | Number of rodent inspections conducted by NYC: Medium | Number of noise (street/sidewalk) complaints to 311: Very High
181,06-29,"something unnamed will gather, and something long held back will edge closer to the surface.",Number of NYC Ferry boardings: Very High
182,06-30,"a restless mirror will gather, until what seemed settled begins to tilt out of place.",Number of heat/hot water complaints to 311: Very Low
183,07-01,"something unnamed will gather, until what seemed settled begins to tilt out of place.",Number of rodent inspections conducted by NYC: High | Number of dog bite incidents reported to DOHMH: High
184,07-02,"something unnamed will gather, and the air will hesitate just long enough to matter.",Number of NYPD arrests: Very High | Number of NYC Ferry boardings: Very High
185,07-03,"something unnamed, a restless mirror will gather, until what seemed settled begins to tilt out of place.",Number of NYPD arrests: Very High | Number of rodent inspections conducted by NYC: Medium | Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very High | Number of dog bite incidents reported to DOHMH: High
186,07-04,"something unnamed will gather, until what seemed settled begins to tilt out of place.",Number of rodent inspections conducted by NYC: Very Low | Number of street condition complaints to 311: Very Low | Number of dog bite incidents reported to DOHMH: Very High
187,07-05,"something unnamed will gather, and the air will hesitate just long enough to matter.",Number of NYPD arrests: High | Number of 311 service requests handled by the Department of Homeless Services (DHS): High | Number of NYC Ferry boardings: Very High
188,07-06,"something unnamed will gather, and a quiet shift will pass almost unnoticed.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Medium | Number of NYPD arrests: Medium
189,07-07,"something unnamed will gather, before anyone thinks to call it a sign.",Number of unsanitary condition complaints to 311: Low | Number of rodent inspections conducted by NYC: Very Low
190,07-08,"a restless mirror, something unnamed will gather, before anyone thinks to call it a sign.",Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Low | Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: High | Number of unsanitary condition complaints to 311: Very High
191,07-09,"a restless mirror will gather, before anyone thinks to call it a sign.",Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Low
192,07-10,"a restless mirror, something unnamed will gather, and a quiet shift will pass almost unnoticed.",Daily median water temperature (°C) across NYC DEP watershed reservoirs: Medium | Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Low | Number of unsanitary condition complaints to 311: Very High | Number of street condition complaints to 311: High
193,07-11,"a restless mirror, something unnamed will gather, and the air will hesitate just long enough to matter.",Daily median water pH (SU) across NYC DEP watershed reservoirs: Low | Number of street condition complaints to 311: High | Number of NYC Ferry boardings: High | Number of unsanitary condition complaints to 311: Low
194,07-12,"something unnamed, a restless mirror will gather, and something long held back will edge closer to the surface.",Number of dog bite incidents reported to DOHMH: Very High | Number of NYC Ferry boardings: Medium | Number of NYPD arrests: Medium | Daily median water pH (SU) across NYC DEP watershed reservoirs: High
195,07-13,"something unnamed will gather, and the air will hesitate just long enough to matter.",Number of unsanitary condition complaints to 311: Very Low | Number of street condition complaints to 311: Very Low | Number of dog bite incidents reported to DOHMH: Medium
196,07-14,"something unnamed will gather, and a quiet shift will pass almost unnoticed.",Number of NYC Ferry boardings: Very High | Number of street condition complaints to 311: Low | Number of dog bite incidents reported to DOHMH: Very Low
197,07-15,"an unseen murmur, something unnamed will gather, before anyone thinks to call it a sign.",Number of noise (street/sidewalk) complaints to 311: High | Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
198,07-16,"something unnamed will gather, and something long held back will edge closer to the surface.",Number of NYC Ferry boardings: High | Number of rodent inspections conducted by NYC: High
199,07-17,"a restless mirror, something unnamed, an unseen murmur will gather, and the air will hesitate just long enough to matter.",Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very High | Number of street condition complaints to 311: High | Number of noise (street/sidewalk) complaints to 311: Low
200,07-18,"a restless mirror, something unnamed will gather, and a quiet shift will pass almost unnoticed.",Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very Low | Number of street condition complaints to 311: Very High | Daily median water temperature (°C) across NYC DEP watershed reservoirs: High
201,07-19,"a restless mirror will gather, and a quiet shift will pass almost unnoticed.",Daily median water pH (SU) across NYC DEP watershed reservoirs: Very Low
202,07-20,"something unnamed will gather, and a quiet shift will pass almost unnoticed.",Number of NYPD arrests: Low
203,07-21,"something unnamed, a restless mirror will gather, until what seemed settled begins to tilt out of place.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Medium | Number of heat/hot water complaints to 311: Very Low
204,07-22,"something unnamed will gather, and a quiet shift will pass almost unnoticed.",Number of 311 service requests handled by the Department of Homeless Services (DHS): High
205,07-23,"something unnamed, a restless mirror will gather, until what seemed settled begins to tilt out of place.",Number of NYC Ferry boardings: High | Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very High
206,07-24,"something unnamed, a restless mirror will gather, and a quiet shift will pass almost unnoticed.",Number of street condition complaints to 311: High | Number of heat/hot water complaints to 311: Very Low
207,07-25,"something unnamed will gather, before anyone thinks to call it a sign.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High | Number of unsanitary condition complaints to 311: High | Number of NYPD arrests: Very High
208,07-26,"something unnamed will gather, and the air will hesitate just long enough to matter.",Number of dog bite incidents reported to DOHMH: Very High | Number of street condition complaints to 311: Medium
209,07-27,"something unnamed, an unseen murmur will gather, until what seemed settled begins to tilt out of place.",Number of 311 service requests handled by the Department of Homeless Services (DHS): High | Number of noise (street/sidewalk) complaints to 311: Very High | Number of unsanitary condition complaints to 311: Very Low | Number of NYPD arrests: Low
210,07-28,"something unnamed, a restless mirror will gather, before anyone thinks to call it a sign.",Number of NYC Ferry boardings: Very High | Number of heat/hot water complaints to 311: Very Low
211,07-29,"something unnamed, a restless mirror will gather, and the air will hesitate just long enough to matter.",Number of street condition complaints to 311: High | Daily median water pH (SU) across NYC DEP watershed reservoirs: Low | Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very Low
212,07-30,"something unnamed, a restless mirror will gather, before anyone thinks to call it a sign.",Number of rodent inspections conducted by NYC: Medium | Number of heat/hot water complaints to 311: Very Low
213,07-31,"an unseen murmur, something unnamed, a restless mirror will gather, and a quiet shift will pass almost unnoticed.",Number of noise (street/sidewalk) complaints to 311: Medium | Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High | Number of NYC Ferry boardings: High | Number of heat/hot water complaints to 311: Low
214,08-01,"a restless mirror, something unnamed will gather, until what seemed settled begins to tilt out of place.",Daily median water temperature (°C) across NYC DEP watershed reservoirs: Low | Number of NYC Ferry boardings: High | Number of dog bite incidents reported to DOHMH: Very High
215,08-02,"something unnamed will gather, and the air will hesitate just long enough to matter.",Number of NYC Ferry boardings: High
216,08-03,"something unnamed will gather, and something long held back will edge closer to the surface.",Number of 311 service requests handled by the Department of Homeless Services (DHS): High | Number of NYPD arrests: Medium
217,08-04,"something unnamed will gather, before anyone thinks to call it a sign.",Number of dog bite incidents reported to DOHMH: High
218,08-05,"something unnamed, an unseen murmur will gather, and something long held back will edge closer to the surface.",Number of rodent inspections conducted by NYC: High | Number of noise (street/sidewalk) complaints to 311: High | Number of NYC Ferry boardings: Very High
219,08-06,"a restless mirror will gather, before anyone thinks to call it a sign.",Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Medium
220,08-07,"something unnamed will gather, and the air will hesitate just long enough to matter.",Number of NYPD arrests: Very High | Number of rodent inspections conducted by NYC: Low
221,08-08,"something unnamed, a restless mirror will gather, before anyone thinks to call it a sign.",Number of 311 service requests handled by the Department of Homeless Services (DHS): High | Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: High | Number of dog bite incidents reported to DOHMH: Low
222,08-09,"something unnamed will gather, and the air will hesitate just long enough to matter.",Number of rodent inspections conducted by NYC: Medium | Number of NYPD arrests: High | Number of unsanitary condition complaints to 311: Very High
223,08-10,"something unnamed will gather, and something long held back will edge closer to the surface.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Medium | Number of street condition complaints to 311: Very Low | Number of rodent inspections conducted by NYC: Low
224,08-11,"something unnamed will gather, and the air will hesitate just long enough to matter.",Number of street condition complaints to 311: Low
225,08-12,"an unseen murmur, a restless mirror will gather, until what seemed settled begins to tilt out of place.",Number of noise (street/sidewalk) complaints to 311: High | Daily median water pH (SU) across NYC DEP watershed reservoirs: Very Low | Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Low | Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: High
226,08-13,"something unnamed, a restless mirror will gather, before anyone thinks to call it a sign.",Number of NYC Ferry boardings: Very High | Number of dog bite incidents reported to DOHMH: Very High | Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Medium
227,08-14,"a restless mirror, something unnamed will gather, until what seemed settled begins to tilt out of place.",Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very High | Daily median water pH (SU) across NYC DEP watershed reservoirs: Medium | Number of NYPD arrests: Very High
228,08-15,"something unnamed will gather, until what seemed settled begins to tilt out of place.",Number of rodent inspections conducted by NYC: Very High | Number of 311 service requests handled by the Department of Homeless Services (DHS): High
229,08-16,"something unnamed, an unseen murmur will gather, and something long held back will edge closer to the surface.",Number of NYC Ferry boardings: Very High | Number of dog bite incidents reported to DOHMH: High | Number of noise (street/sidewalk) complaints to 311: Very High
230,08-17,"an unseen murmur, a restless mirror, something unnamed will gather, and something long held back will edge closer to the surface.",Number of noise (street/sidewalk) complaints to 311: Very High | Number of heat/hot water complaints to 311: Low | Number of 311 service requests handled by the Department of Homeless Services (DHS): Medium | Number of dog bite incidents reported to DOHMH: Low
231,08-18,"something unnamed will gather, and something long held back will edge closer to the surface.",Number of dog bite incidents reported to DOHMH: High
232,08-19,"a restless mirror will gather, until what seemed settled begins to tilt out of place.",Daily median water pH (SU) across NYC DEP watershed reservoirs: Very High
233,08-20,"a restless mirror will gather, before anyone thinks to call it a sign.",Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Medium
234,08-21,"something unnamed, a restless mirror will gather, and the air will hesitate just long enough to matter.",Number of 311 service requests handled by the Department of Homeless Services (DHS): High | Number of heat/hot water complaints to 311: Low | Number of rodent inspections conducted by NYC: Medium | Number of dog bite incidents reported to DOHMH: Low
235,08-22,"something unnamed, an unseen murmur will gather, and the air will hesitate just long enough to matter.",Number of 311 service requests handled by the Department of Homeless Services (DHS): High | Number of noise (street/sidewalk) complaints to 311: High | Number of unsanitary condition complaints to 311: Very High | Number of rodent inspections conducted by NYC: Medium
236,08-23,"something unnamed will gather, and something long held back will edge closer to the surface.",Number of dog bite incidents reported to DOHMH: Low
237,08-24,"something unnamed will gather, until what seemed settled begins to tilt out of place.",Number of 311 service requests handled by the Department of Homeless Services (DHS): High | Number of unsanitary condition complaints to 311: Very Low
238,08-25,"something unnamed, an unseen murmur will gather, and a quiet shift will pass almost unnoticed.",Number of NYPD arrests: Very Low | Number of 311 service requests handled by the Department of Homeless Services (DHS): Medium | Number of dog bite incidents reported to DOHMH: Very High | Number of noise (street/sidewalk) complaints to 311: Very High
239,08-26,"an unseen murmur, something unnamed will gather, and something long held back will edge closer to the surface.",Number of noise (street/sidewalk) complaints to 311: High | Number of NYPD arrests: Very Low
240,08-27,"something unnamed, a restless mirror will gather, until what seemed settled begins to tilt out of place.",Number of rodent inspections conducted by NYC: Medium | Number of unsanitary condition complaints to 311: Very High | Number of NYPD arrests: High | Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Low
241,08-28,"a restless mirror, an unseen murmur will gather, before anyone thinks to call it a sign.",Number of heat/hot water complaints to 311: Very Low | Number of noise (street/sidewalk) complaints to 311: Medium | Daily median water temperature (°C) across NYC DEP watershed reservoirs: High
242,08-29,"something unnamed will gather, and the air will hesitate just long enough to matter.",Number of NYC Ferry boardings: High | Number of rodent inspections conducted by NYC: Medium
243,08-30,"something unnamed will gather, and the air will hesitate just long enough to matter.",Number of rodent inspections conducted by NYC: Medium
244,08-31,"an unseen murmur, something unnamed will gather, until what seemed settled begins to tilt out of place.",Number of noise (street/sidewalk) complaints to 311: Very High | Number of unsanitary condition complaints to 311: Low | Number of dog bite incidents reported to DOHMH: Very High
245,09-01,"something unnamed will gather, and a quiet shift will pass almost unnoticed.",Number of rodent inspections conducted by NYC: Very Low | Number of NYPD arrests: Very Low
246,09-02,"something unnamed will gather, and the air will hesitate just long enough to matter.",Number of NYPD arrests: Very Low | Number of 311 service requests handled by the Department of Homeless Services (DHS): Medium
247,09-03,"a restless mirror, something unnamed will gather, until what seemed settled begins to tilt out of place.",Daily median water pH (SU) across NYC DEP watershed reservoirs: Very Low | Daily median water temperature (°C) across NYC DEP watershed reservoirs: High | Number of unsanitary condition complaints to 311: Very High
248,09-04,"something unnamed will gather, and something long held back will edge closer to the surface.",Number of rodent inspections conducted by NYC: High | Number of dog bite incidents reported to DOHMH: Low
249,09-05,"something unnamed will gather, and a quiet shift will pass almost unnoticed.",Number of street condition complaints to 311: High
250,09-06,"something unnamed, a restless mirror will gather, before anyone thinks to call it a sign.",Number of NYC Ferry boardings: Medium | Daily median water pH (SU) across NYC DEP watershed reservoirs: Very High | Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High | Number of rodent inspections conducted by NYC: High
251,09-07,"something unnamed will gather, and something long held back will edge closer to the surface.",Number of unsanitary condition complaints to 311: Low | Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High | Number of rodent inspections conducted by NYC: Low
252,09-08,"something unnamed, a restless mirror, an unseen murmur will gather, and a quiet shift will pass almost unnoticed.",Number of dog bite incidents reported to DOHMH: Low | Number of heat/hot water complaints to 311: Very Low | Number of noise (street/sidewalk) complaints to 311: Very High | Number of unsanitary condition complaints to 311: Low
253,09-09,"a restless mirror will gather, and the air will hesitate just long enough to matter.",Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Medium | Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very High
254,09-10,"something unnamed, an unseen murmur will gather, before anyone thinks to call it a sign.",Number of unsanitary condition complaints to 311: Very High | Number of noise (street/sidewalk) complaints to 311: High
255,09-11,"something unnamed, a restless mirror will gather, and a quiet shift will pass almost unnoticed.",Number of rodent inspections conducted by NYC: High | Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very High | Daily median water pH (SU) across NYC DEP watershed reservoirs: High
256,09-12,"a restless mirror will gather, until what seemed settled begins to tilt out of place.",Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very Low | Number of heat/hot water complaints to 311: Very Low | Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: High
257,09-13,"something unnamed, a restless mirror will gather, before anyone thinks to call it a sign.",Number of unsanitary condition complaints to 311: Very High | Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very Low | Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High | Number of NYC Ferry boardings: High
258,09-14,"something unnamed, a restless mirror will gather, and the air will hesitate just long enough to matter.",Number of unsanitary condition complaints to 311: Low | Number of heat/hot water complaints to 311: Very Low
259,09-15,"something unnamed will gather, before anyone thinks to call it a sign.",Number of rodent inspections conducted by NYC: Low | Number of dog bite incidents reported to DOHMH: Very High | Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High | Number of NYPD arrests: Very Low
260,09-16,"something unnamed will gather, and the air will hesitate just long enough to matter.",Number of NYPD arrests: Low
261,09-17,"a restless mirror, something unnamed will gather, and something long held back will edge closer to the surface.",Daily median water pH (SU) across NYC DEP watershed reservoirs: Low | Number of NYPD arrests: Very High | Number of NYC Ferry boardings: High | Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
262,09-18,"an unseen murmur will gather, and something long held back will edge closer to the surface.",Number of noise (street/sidewalk) complaints to 311: High
263,09-19,"something unnamed, an unseen murmur will gather, and a quiet shift will pass almost unnoticed.",Number of rodent inspections conducted by NYC: Very High | Number of noise (street/sidewalk) complaints to 311: High | Number of street condition complaints to 311: Medium
264,09-20,"something unnamed will gather, and a quiet shift will pass almost unnoticed.",Number of street condition complaints to 311: Medium | Number of unsanitary condition complaints to 311: High
265,09-21,"something unnamed, an unseen murmur will gather, before anyone thinks to call it a sign.",Number of dog bite incidents reported to DOHMH: Low | Number of 311 service requests handled by the Department of Homeless Services (DHS): High | Number of noise (street/sidewalk) complaints to 311: Very High | Number of rodent inspections conducted by NYC: Low
266,09-22,"something unnamed will gather, and a quiet shift will pass almost unnoticed.",Number of rodent inspections conducted by NYC: Low | Number of 311 service requests handled by the Department of Homeless Services (DHS): High | Number of NYPD arrests: Very Low | Number of dog bite incidents reported to DOHMH: Medium
267,09-23,"a restless mirror will gather, before anyone thinks to call it a sign.",Number of heat/hot water complaints to 311: Low | Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very High | Daily median water pH (SU) across NYC DEP watershed reservoirs: Very Low
268,09-24,"something unnamed, a restless mirror will gather, and something long held back will edge closer to the surface.",Number of NYC Ferry boardings: Medium | Number of NYPD arrests: Medium | Daily median water pH (SU) across NYC DEP watershed reservoirs: Low
269,09-25,"something unnamed, a restless mirror will gather, before anyone thinks to call it a sign.",Number of unsanitary condition complaints to 311: Very High | Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very Low | Number of NYC Ferry boardings: Medium | Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very Low
270,09-26,"something unnamed, a restless mirror will gather, and a quiet shift will pass almost unnoticed.",Number of unsanitary condition complaints to 311: Medium | Number of rodent inspections conducted by NYC: High | Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very Low
271,09-27,"something unnamed, a restless mirror will gather, until what seemed settled begins to tilt out of place.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High | Number of dog bite incidents reported to DOHMH: Medium | Number of heat/hot water complaints to 311: Very Low
272,09-28,"an unseen murmur, a restless mirror will gather, until what seemed settled begins to tilt out of place.",Number of noise (street/sidewalk) complaints to 311: Very High | Number of heat/hot water complaints to 311: Very Low
273,09-29,"an unseen murmur, something unnamed will gather, and something long held back will edge closer to the surface.",Number of noise (street/sidewalk) complaints to 311: High | Number of unsanitary condition complaints to 311: Low | Number of rodent inspections conducted by NYC: Low
274,09-30,"an unseen murmur, something unnamed will gather, until what seemed settled begins to tilt out of place.",Number of noise (street/sidewalk) complaints to 311: High | Number of rodent inspections conducted by NYC: Medium
275,10-01,"a restless mirror will gather, and a quiet shift will pass almost unnoticed.",Number of heat/hot water complaints to 311: Low
276,10-02,"a restless mirror, something unnamed will gather, and the air will hesitate just long enough to matter.",Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Low | Number of NYPD arrests: Very High
277,10-03,"a restless mirror will gather, and something long held back will edge closer to the surface.",Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very High
278,10-04,"something unnamed, a restless mirror, an unseen murmur will gather, and something long held back will edge closer to the surface.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High | Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very High | Number of noise (street/sidewalk) complaints to 311: Very High
279,10-05,"something unnamed, a restless mirror will gather, before anyone thinks to call it a sign.",Number of 311 service requests handled by the Department of Homeless Services (DHS): High | Number of rodent inspections conducted by NYC: Low | Number of heat/hot water complaints to 311: Low | Number of NYC Ferry boardings: Very High
280,10-06,"something unnamed will gather, until what seemed settled begins to tilt out of place.",Number of unsanitary condition complaints to 311: Low
281,10-07,"a restless mirror, something unnamed will gather, and something long held back will edge closer to the surface.",Number of heat/hot water complaints to 311: Medium | Number of street condition complaints to 311: Medium
282,10-08,"a restless mirror will gather, and a quiet shift will pass almost unnoticed.",Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very High | Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: High
283,10-09,"something unnamed will gather, and the air will hesitate just long enough to matter.",Number of street condition complaints to 311: Low
284,10-10,"something unnamed, a restless mirror will gather, and a quiet shift will pass almost unnoticed.",Number of NYC Ferry boardings: Medium | Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High | Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: High
285,10-11,"something unnamed, an unseen murmur will gather, before anyone thinks to call it a sign.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High | Number of rodent inspections conducted by NYC: High | Number of unsanitary condition complaints to 311: Medium | Number of noise (street/sidewalk) complaints to 311: High
286,10-12,"something unnamed, an unseen murmur will gather, and something long held back will edge closer to the surface.",Number of dog bite incidents reported to DOHMH: Low | Number of street condition complaints to 311: Very Low | Number of unsanitary condition complaints to 311: Very Low | Number of noise (street/sidewalk) complaints to 311: Very High
287,10-13,"an unseen murmur, something unnamed will gather, and something long held back will edge closer to the surface.",Number of noise (street/sidewalk) complaints to 311: Very High | Number of 311 service requests handled by the Department of Homeless Services (DHS): Medium
288,10-14,"something unnamed, an unseen murmur, a restless mirror will gather, until what seemed settled begins to tilt out of place.",Number of dog bite incidents reported to DOHMH: Medium | Number of noise (street/sidewalk) complaints to 311: Medium | Number of heat/hot water complaints to 311: High
289,10-15,"something unnamed, a restless mirror will gather, before anyone thinks to call it a sign.",Number of street condition complaints to 311: Low | Number of unsanitary condition complaints to 311: Very High | Number of NYPD arrests: High | Daily median turbidity (NTU) across NYC DEP watershed reservoirs: High
290,10-16,"a restless mirror, something unnamed will gather, and the air will hesitate just long enough to matter.",Daily median water temperature (°C) across NYC DEP watershed reservoirs: High | Number of NYC Ferry boardings: Medium | Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Medium | Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Medium
291,10-17,"something unnamed will gather, before anyone thinks to call it a sign.",Number of unsanitary condition complaints to 311: Very High
292,10-18,"a restless mirror will gather, and something long held back will edge closer to the surface.",Daily median water temperature (°C) across NYC DEP watershed reservoirs: Low
293,10-19,"something unnamed will gather, until what seemed settled begins to tilt out of place.",Number of dog bite incidents reported to DOHMH: Low
294,10-20,"something unnamed will gather, and something long held back will edge closer to the surface.",Number of street condition complaints to 311: Very Low | Number of rodent inspections conducted by NYC: Very Low
295,10-21,"a restless mirror will gather, and the air will hesitate just long enough to matter.",Daily median water temperature (°C) across NYC DEP watershed reservoirs: Medium | Daily median water pH (SU) across NYC DEP watershed reservoirs: Very Low | Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: High
296,10-22,"a restless mirror, something unnamed will gather, until what seemed settled begins to tilt out of place.",Number of heat/hot water complaints to 311: Medium | Number of unsanitary condition complaints to 311: Very High | Daily median turbidity (NTU) across NYC DEP watershed reservoirs: High | Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
297,10-23,"something unnamed, a restless mirror will gather, before anyone thinks to call it a sign.",Number of rodent inspections conducted by NYC: Low | Daily median water pH (SU) across NYC DEP watershed reservoirs: High | Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
298,10-24,"something unnamed will gather, and a quiet shift will pass almost unnoticed.",Number of rodent inspections conducted by NYC: Medium | Number of 311 service requests handled by the Department of Homeless Services (DHS): High | Number of unsanitary condition complaints to 311: High | Number of dog bite incidents reported to DOHMH: High
299,10-25,"something unnamed, a restless mirror will gather, and the air will hesitate just long enough to matter.",Number of NYPD arrests: Medium | Number of street condition complaints to 311: Very Low | Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very Low
300,10-26,"something unnamed will gather, and something long held back will edge closer to the surface.",Number of street condition complaints to 311: Very Low | Number of unsanitary condition complaints to 311: Very Low
